Lettera;Codice Ateco 2007;Descrizione
A;A;AGRICOLTURA, SILVICOLTURA E PESCA
A;01;COLTIVAZIONI AGRICOLE E PRODUZIONE DI PRODOTTI ANIMALI, CACCIA E SERVIZI CONNESSI
A;011;COLTIVAZIONE DI COLTURE AGRICOLE NON PERMANENTI
A;0111;Coltivazione di cereali (escluso il riso), legumi da granella e semi oleosi
A;01111;Coltivazione di cereali (escluso il riso)
A;011110;Coltivazione di cereali (escluso il riso)
A;01112;Coltivazione di semi oleosi
A;011120;Coltivazione di semi oleosi
A;01113;Coltivazione di legumi da granella
A;011130;Coltivazione di legumi da granella
A;01114;Coltivazioni miste di cereali, legumi da granella e semi oleosi
A;011140;Coltivazioni miste di cereali, legumi da granella e semi oleosi
A;0112;Coltivazione di riso
A;01120;Coltivazione di riso
A;011200;Coltivazione di riso
A;0113;Coltivazione di ortaggi e meloni, radici e tuberi
A;01131;Coltivazione di ortaggi (inclusi i meloni) in foglia, a fusto, a frutto, in radici, bulbi e tuberi in piena aria (escluse barbabietola da zucchero e patate)
A;011310;Coltivazione di ortaggi (inclusi i meloni) in foglia, a fusto, a frutto, in radici, bulbi e tuberi in piena aria (escluse barbabietola da zucchero e patate)
A;01132;Coltivazione di ortaggi (inclusi i meloni) in foglia, a fusto, a frutto, in radici, bulbi e tuberi in colture protette (escluse barbabietola da zucchero e patate)
A;011320;
A;011321;Coltivazione di ortaggi (inclusi i meloni) in foglia, a fusto, a frutto, in radici, bulbi e tuberi in colture protette fuori suolo (escluse barbabietola da zucchero e patate)
A;011329;Coltivazione di ortaggi (inclusi i meloni) in foglia, a fusto, a frutto, in radici, bulbi e tuberi in colture protette ad esclusione delle colture fuori suolo (escluse barbabietola da zucchero e patate)
A;01133;Coltivazione di barbabietola da zucchero
A;011330;Coltivazione di barbabietola da zucchero
A;01134;Coltivazione di patate
A;011340;Coltivazione di patate
A;0114;Coltivazione di canna da zucchero
A;01140;Coltivazione di canna da zucchero
A;011400;Coltivazione di canna da zucchero
A;0115;Coltivazione di tabacco
A;01150;Coltivazione di tabacco
A;011500;Coltivazione di tabacco
A;0116;Coltivazione di piante tessili
A;01160;Coltivazione di piante per la preparazione di fibre tessili
A;011600;Coltivazione di piante per la preparazione di fibre tessili
A;0119;Floricoltura e coltivazione di altre colture non permanenti
A;01191;Coltivazione di fiori in piena aria
A;011910;Coltivazione di fiori in piena aria
A;01192;Coltivazione di fiori in colture protette
A;011920;
A;011921;Coltivazione di fiori in colture protette fuori suolo 
A;011929;Coltivazione di fiori in colture protette ad esclusione delle colture fuori suolo
A;01199;Coltivazione di piante da foraggio e di altre colture non permanenti
A;011990;Coltivazione di piante da foraggio e di altre colture non permanenti
A;012;COLTIVAZIONE DI COLTURE PERMANENTI
A;0121;Coltivazione di uva
A;01210;Coltivazione di uva
A;012100;Coltivazione di uva
A;0122;Coltivazione di frutta di origine tropicale e subtropicale
A;01220;Coltivazione di frutta di origine tropicale e subtropicale
A;012200;Coltivazione di frutta di origine tropicale e subtropicale
A;0123;Coltivazione di agrumi
A;01230;Coltivazione di agrumi
A;012300;Coltivazione di agrumi
A;0124;Coltivazione di pomacee e frutta a nocciolo
A;01240;Coltivazione di pomacee e frutta a nocciolo
A;012400;Coltivazione di pomacee e frutta a nocciolo
A;0125;Coltivazione di altri alberi da frutta, frutti di bosco e in guscio
A;01250;Coltivazione di altri alberi da frutta, frutti di bosco e frutta in guscio
A;012500;Coltivazione di altri alberi da frutta, frutti di bosco e frutta in guscio
A;0126;Coltivazione di frutti oleosi
A;01260;Coltivazione di frutti oleosi
A;012600;Coltivazione di frutti oleosi
A;0127;Coltivazione di piante per la produzione di bevande
A;01270;Coltivazione di piante per la produzione di bevande
A;012700;Coltivazione di piante per la produzione di bevande
A;0128;Coltivazione di spezie, piante aromatiche e farmaceutiche
A;01280;Coltivazione di spezie, piante aromatiche e farmaceutiche
A;012800;Coltivazione di spezie, piante aromatiche e farmaceutiche
A;0129;Coltivazione di altre colture permanenti (inclusi alberi di Natale)
A;01290;Coltivazione di altre colture permanenti (inclusi alberi di Natale)
A;012900;Coltivazione di altre colture permanenti (inclusi alberi di Natale)
A;013;RIPRODUZIONE DELLE PIANTE
A;0130;Riproduzione delle piante
A;01300;Riproduzione delle piante
A;013000;Riproduzione delle piante
A;014;ALLEVAMENTO DI ANIMALI
A;0141;Allevamento di bovini da latte
A;01410;Allevamento di bovini e bufale da latte, produzione di latte crudo
A;014100;Allevamento di bovini e bufale da latte, produzione di latte crudo
A;0142;Allevamento di altri bovini e di bufalini
A;01420;Allevamento di bovini e bufalini da carne
A;014200;Allevamento di bovini e bufalini da carne
A;0143;Allevamento di cavalli e altri equini
A;01430;Allevamento di cavalli e altri equini
A;014300;Allevamento di cavalli e altri equini
A;0144;Allevamento di cammelli e camelidi
A;01440;Allevamento di cammelli e camelidi
A;014400;Allevamento di cammelli e camelidi
A;0145;Allevamento di ovini e caprini
A;01450;Allevamento di ovini e caprini
A;014500;Allevamento di ovini e caprini
A;0146;Allevamento di suini
A;01460;Allevamento di suini
A;014600;Allevamento di suini
A;0147;Allevamento di pollame
A;01470;Allevamento di pollame
A;014700;Allevamento di pollame
A;0149;Allevamento di altri animali
A;01491;Allevamento di conigli
A;014910;Allevamento di conigli
A;01492;Allevamento di animali da pelliccia
A;014920;Allevamento di animali da pelliccia
A;01493;Apicoltura
A;014930;Apicoltura
A;01494;Bachicoltura
A;014940;Bachicoltura
A;01499;Allevamento di altri animali nca
A;014990;Allevamento di altri animali nca
A;015;COLTIVAZIONI AGRICOLE ASSOCIATE ALL'ALLEVAMENTO DI ANIMALI: ATTIVITÀ MISTA
A;0150;Coltivazioni agricole associate all'allevamento di animali: attività mista
A;01500;Coltivazioni agricole associate all'allevamento di animali: attività mista
A;015000;Coltivazioni agricole associate all'allevamento di animali: attività mista
A;016;ATTIVITÀ DI SUPPORTO ALL'AGRICOLTURA E ATTIVITÀ SUCCESSIVE ALLA RACCOLTA
A;0161;Attività di supporto alla produzione vegetale
A;01610;Attività di supporto alla produzione vegetale
A;016100;Attività di supporto alla produzione vegetale
A;0162;Attività di supporto alla produzione animale
A;01620;Attività di supporto alla produzione animale (esclusi i servizi veterinari)
A;016201;Attività dei maniscalchi
