ID_CONT;Regione;Comune;Localita;Nome Area;Numero Sae ordinate ;Numero Sae 40 mq;Numero Sae 60 mq;Numero Sae 80 mq;Consegna area idonea ;Inizio Urbanizzazione;Fine Urbanizzazione;Inizio Installazione ;Fine Installazione;Consegna al sindaco;Stato di avanzamento;X;Y
;LAZIO;Accumoli;Accumoli Capoluogo (4sub);Accumoli Capoluogo (4sub);71;36;20;15;08/11/2016;13/02/2017;;14/04/2017;;13/08/2017;Consegna al sindaco ;13,244224;42,695459
;LAZIO;Accumoli;Fonte del Campo;Fonte del Campo;26;15;5;6;21/11/2017;27/03/2017;;11/05/2017;;29/09/2017;Consegna al sindaco ;13,2576;42,694474
;LAZIO;Accumoli;Grisciano;Grisciano;16;8;3;5;03/02/2017;22/03/2017;05/05/2017;08/05/2017;21/07/2017;01/08/2017;Consegna al sindaco ;13,268905;42,734069
;LAZIO;Accumoli;Grisciano Palazzo;Grisciano Palazzo;26;13;8;5;03/02/2017;03/04/2017;;02/06/2017;;06/10/2017;Consegna al sindaco ;13,269998;42,737448
;LAZIO;Accumoli;Grisciano Palazzo - ampliamento;Grisciano Palazzo - ampliamento;1;;;;15/11/2018;;;;;;Consegna area idonea ;13,270713;42,737442
;LAZIO;Accumoli;Illica;Illica;7;3;3;1;21/11/2016;30/01/2017;13/03/2017;13/03/2017;30/04/2017;12/06/2017;Consegna al sindaco ;13,262832;42,704213
;LAZIO;Accumoli;Libertino;Libertino;10;5;3;2;21/11/2016;27/02/2017;03/04/2017;03/04/2017;;03/07/2017;Consegna al sindaco ;13,253344;42,692165
;LAZIO;Accumoli;Macchia;Macchia;12;7;5;0;23/11/2016;28/02/2017;08/04/2017;13/04/2017;29/05/2017;03/07/2017;Consegna al sindaco ;13,256404;42,669548
;LAZIO;Accumoli;Poggio d'Api;Poggio d'Api;2;1;1;0;21/11/2016;14/02/2017;20/03/2017;20/03/2017;26/04/2017;12/06/2017;Consegna al sindaco ;13,29594;42,71967
;LAZIO;Accumoli;Roccasalli;Roccasalli;13;7;2;4;20/02/2017;01/03/2017;05/04/2017;06/04/2017;10/07/2017;01/08/2017;Consegna al sindaco ;13,193864;42,6547
;LAZIO;Accumoli;Roccasalli 2;Roccasalli 2;1;;1;;02/10/2017;;;;;20/02/2018;Consegna al sindaco ;13,192725;42,654832
;LAZIO;Accumoli;Terracino;Terracino;11;5;4;2;23/11/2016;12/04/2017;;27/08/2017;27/10/2017;12/12/2017;Consegna al sindaco ;13,212657;42,680908
;LAZIO;Accumoli;Tino;Tino;5;5;0;0;21/11/2016;28/02/2017;;28/03/2017;21/04/2017;12/06/2017;Consegna al sindaco ;13,25079;42,711733
;MARCHE;Acquasanta Terme;Arli;Arli;6;6;;;18/04/2017;12/07/2017;;21/08/2017;20/10/2017;18/01/2018;Consegna al sindaco ;13,45227;42,800624
;MARCHE;Amandola;San Cristoforo;San Cristoforo;2;2;;;08/05/2017;24/07/2017;;30/08/2017;14/10/2017;14/12/2017;Consegna al sindaco ;13,366619;43,017617
