Comune,CRATER,PHONE_BEFORE,PHONE_AFTER,PCGH,MPE,MPE_INIT,MPE_END,DISTANCE FROM EPICENTER,AGRICOLTURE,OTHER SERV,PUBLIC ADMIN,REAL ESTATE,ENTERTAINMENT,HOSPITALITY,FINANCE,MANUFACTURING,TECH SERVICES,WHOLE/RETAIL SALES,CONSTRUCTIONS,MINING,WASTE MGMT,UTILITIES,EDUCATION,BUSINESS SUPPORT SERVICES,EXTRA,HEALTHCARE,COMMUNICATION AND INFORMATION SERV.,LOGISTICS,ABRUZZO,LAZIO,MARCHE,UMBRIA,ALT_MIN,ALT_MEAN,ALT_MED
Abbateggio,0.0,490.1281912842267,528.0046790235082,0.0772787373034757,-14.463815772079336,0.7050661311664652,-19.22715064697638,84.00815426443212,0.0,0.0,0.0,0.0,0.0,0.248780487804878,0.0,0.0,0.0,0.0,0.751219512195122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,182,607.0807,597
Acciano,0.0,768.1368684920941,819.7758024412296,0.0672262145814018,-14.874263873933572,-4.698443533680987,-18.069676707692903,67.55910836990036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7710843373493976,0.0,0.0,0.0,0.0,0.0,0.2289156626506024,0.0,0.0,0.0,0.0,1,0,0,0,454,858.6765,872
Accumoli,1.0,1851.5357018897032,756.2455809222423,-0.5915576566250343,-50.16135731665767,-10.301178681952232,-62.678257390201686,0.0,0.3015184381778741,0.0,0.0,0.0650759219088937,0.0,0.0,0.0,0.0,0.0,0.4593275488069414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1740780911062906,0,1,0,0,670,1181.803,1125
Acqualagna,0.0,6232.440927497108,6788.446451175407,0.0892115192340196,-9.51870024700976,-9.40007914969796,-9.555949664160469,94.92829672965976,0.0291932292811606,0.0,0.0,0.0080457243350186,0.0,0.0105517696196966,0.0,0.4609804352604968,0.0009672455484721,0.2409760386898219,0.0085293471092547,0.0063310617718179,0.0,0.0,0.0,0.0713123763464497,0.0,0.1631127720378105,0.0,0.0,0,0,1,0,168,367.0402,337
Acquapendente,0.0,9869.870651754723,11145.026785714286,0.1291968434999557,0.9084830167338568,-2.141305751920816,1.866178204517844,100.88334894324386,0.0016791354945968,0.0,0.0,0.0042061512884455,0.0049044056525353,0.0052535328345802,0.0,0.6238736492103075,0.0025270157938487,0.2989359933499584,0.0310224438902743,0.0,0.0044222776392352,0.0,0.0026766417290108,0.0092768079800498,0.0,0.003291770573566,0.007930174563591,0.0,0,1,0,0,194,443.6143,447
Acquasanta Terme,1.0,4675.825568839182,4551.677407323689,-0.0265510677607063,-20.58104334674201,-9.636774740819057,-24.01776443557048,15.157389385989967,0.0,0.0,0.0,0.0011415525114155,0.0008371385083713,0.0336377473363774,0.0,0.4729832572298326,0.0014459665144596,0.2476407914764079,0.1318873668188736,0.0699391171993911,0.0,0.0,0.0,0.0035007610350076,0.0,0.0010654490106544,0.0,0.0359208523592085,0,0,1,0,242,860.2225,825
Acquasparta,0.0,5907.149691477054,6861.913494575046,0.1616285100199073,-2.084250204215677,0.3379560354670822,-2.844871819524401,47.48881821939034,0.0,0.0,0.0,0.005155064821696,0.0,0.0204787014427103,0.0,0.4345589883332743,0.0008493470644442,0.1706007950832242,0.0561040922013424,0.0,0.0,0.0,0.0,0.0001179648700616,0.0,0.0079744252161706,0.0,0.304160620967076,0,0,0,1,196,471.9593,392
Acquaviva Picena,0.0,4730.747184728114,5541.411211573237,0.1713606741577997,6.299098881197833,1.9677874337711208,7.659218038507225,51.09691208535165,0.0,0.0,0.0,0.0022882329990615,0.0,0.0068963335547752,0.3468096548669767,0.4942899623548765,0.0076555629369523,0.1169318697078021,0.0235782902576107,0.0,0.0,0.0001265382303628,0.0,7.381396771166156e-05,0.0,0.0,0.0,0.0013497411238703,0,0,1,0,44,182.7404,179
Agugliano,0.0,4568.25622830698,5017.546485081374,0.0983504940003996,13.574457415669746,5.573528854167347,16.086910363201056,76.62649380880883,0.0,0.0,0.0,0.0150270367161592,0.0,0.0,0.0,0.4436710184327667,0.0,0.3534789233113255,0.0263794700206136,0.108206614286141,0.0460669793564962,0.0,0.0,0.0,0.0,0.0064529620888477,0.0007169957876497,0.0,0,0,1,0,32,92.22927,88
Alanno,0.0,3086.1664577709216,3446.715054249548,0.1168273330075149,1.9684124794492392,-1.1859451246295818,2.9589443907162267,75.64856167360867,0.0,0.0,0.0,0.0008866812436765,0.0,0.0,0.0,0.9914771394814368,0.0,0.0017420941311528,0.0025684721164433,0.0,0.0,0.0,0.0,6.700362042895717e-06,0.0,5.360289634316574e-05,3.1268356200180015e-05,0.0032340414127043,1,0,0,0,74,187.5012,179
