Comune,canc2015,canc2016,canc2017,iscr2015,iscr2016,iscr2017,pop_iniz_2015,pop_iniz_2016,pop_iniz_2017,pop_fine_2015,pop_fine_2016,pop_fine_2017,Cratere Centro Italia 2016
Acciano,11.0,21.0,10.0,9.0,19.0,12.0,347.0,335.0,319.0,335.0,319.0,317.0,0
Accumoli,30.0,17.0,13.0,28.0,19.0,6.0,665.0,655.0,639.0,655.0,639.0,616.0,1.0
Acquasanta Terme,101.0,88.0,67.0,76.0,52.0,23.0,2994.0,2935.0,2868.0,2935.0,2868.0,2801.0,1.0
Acquasparta,173.0,142.0,126.0,136.0,130.0,147.0,4786.0,4705.0,4667.0,4705.0,4667.0,4636.0,0
Acquaviva Picena,143.0,146.0,133.0,97.0,115.0,141.0,3878.0,3829.0,3793.0,3829.0,3793.0,3778.0,0
Alba Adriatica,580.0,538.0,,596.0,606.0,,12289.0,12266.0,,12266.0,12336.0,,0
Allerona,44.0,53.0,38.0,48.0,36.0,55.0,1802.0,1796.0,1763.0,1796.0,1763.0,1775.0,0
Altidona,141.0,142.0,124.0,161.0,170.0,143.0,3359.0,3367.0,3383.0,3367.0,3383.0,3411.0,0
Alviano,18.0,24.0,23.0,42.0,37.0,22.0,1458.0,1464.0,1468.0,1464.0,1468.0,1456.0,0
Amandola,79.0,81.0,99.0,63.0,123.0,87.0,3649.0,3600.0,3603.0,3600.0,3603.0,3548.0,1.0
Amatrice,90.0,87.0,96.0,140.0,76.0,68.0,2624.0,2639.0,2503.0,2639.0,2503.0,2437.0,1.0
Amelia,298.0,275.0,305.0,296.0,283.0,281.0,11741.0,11691.0,11647.0,11691.0,11647.0,11552.0,0
Ancarano,77.0,70.0,,52.0,99.0,,1877.0,1847.0,,1847.0,1864.0,,0
Antrodoco,93.0,65.0,98.0,69.0,75.0,56.0,2613.0,2569.0,2546.0,2569.0,2546.0,2469.0,1.0
Apiro,51.0,60.0,68.0,65.0,56.0,50.0,2293.0,2282.0,2261.0,2282.0,2261.0,2231.0,1.0
Appignano,133.0,123.0,110.0,118.0,127.0,115.0,4241.0,4208.0,4203.0,4208.0,4203.0,4181.0,0
Appignano del Tronto,60.0,51.0,67.0,43.0,54.0,57.0,1806.0,1776.0,1775.0,1776.0,1775.0,1754.0,1.0
Arquata del Tronto,36.0,31.0,17.0,13.0,17.0,2.0,1230.0,1187.0,1144.0,1187.0,1144.0,1117.0,1.0
Arrone,120.0,102.0,118.0,103.0,104.0,117.0,2778.0,2745.0,2734.0,2745.0,2734.0,2725.0,1.0
Arsita,10.0,27.0,,15.0,22.0,,835.0,832.0,,832.0,821.0,,0
