Comune,COD_REG
Arezzo,9
Varsi,8
Ripatransone,11
Barga,9
Tuoro sul Trasimeno,10
Polino,10
Tufillo,13
Albinea,8
Tizzano Val Parma,8
Vacri,13
Casina,8
Sorbolo,8
Narni,10
Castellarano,8
Acquapendente,12
Barbarano Romano,12
Terenzo,8
Valmozzola,8
Fivizzano,9
Gualdo Tadino,10
Guardea,10
Lugnano in Teverina,10
Monte Santa Maria Tiberina,10
Sigillo,10
Castel Giorgio,10
Castel Viscardo,10
Canino,12
Pergine Valdarno,9
Spello,10
Capodimonte,12
Vicovaro,12
Umbertide,10
Bagnoregio,12
Bassano Romano,12
Soragna,8
San Venanzo,10
Baschi,10
Calvi dell'Umbria,10
Costacciaro,10
Torano Nuovo,13
Montecchio Emilia,8
Vicopisano,9
Volterra,9
Bucine,9
Capolona,9
Castiglion Fibocchi,9
Lenola,12
Maenza,12
Cineto Romano,12
Porano,10
San Gemini,10
Attigliano,10
Alba Adriatica,13
Civitella San Paolo,12
Colleferro,12
Colonna,12
Vivaro Romano,12
Acquafondata,12
Acuto,12
Ancarano,13
Arsita,13
Ausonia,12
Monte San Giovanni in Sabina,12
Morro Reatino,12
Nespolo,12
Sant'Ambrogio sul Garigliano,12
Castiglion Fiorentino,9
Cavriglia,9
Viticuso,12
Luzzara,8
Trecastelli,11
Scarperia e San Piero,9
Massa Fermana,11
Monsampietro Morico,11
Servigliano,11
Figline e Incisa Valdarno,9
Montappone,11
Amandola,11
Petritoli,11
Sant'Elpidio a Mare,11
Santa Vittoria in Matenano,11
Pievepelago,8
Polinago,8
Castelfranco Emilia,8
Castiglione dei Pepoli,8
Crevalcore,8
Marzabotto,8
Castel di Casio,8
Sala Bolognese,8
Maranello,8
Marano sul Panaro,8
Molinella,8
Monterenzio,8
San Giovanni in Persiceto,8
Casalfiumanese,8
Castel Maggiore,8
Riolunato,8
San Cesario sul Panaro,8
Zola Predosa,8
Serramazzoni,8
Bondeno,8
Montese,8
Ozzano dell'Emilia,8
Fiorano Modenese,8
Fiumalbo,8
Granarolo dell'Emilia,8
Calderara di Reno,8
Argelato,8
Alto Reno Terme,8
Castel San Pietro Terme,8
San Felice sul Panaro,8
San Possidonio,8
Toano,8
Vetto,8
Fontanelice,8
Barete,13
Comano,9
Barisciano,13
Roncofreddo,8
Castiglione di Garfagnana,9
Lizzano in Belvedere,8
Capannori,9
Careggine,9
Dozza,8
San Benedetto Val di Sambro,8
Balsorano,13
Filattiera,9
Sogliano al Rubicone,8
Medicina,8
Carrara,9
Meldola,8
Borgo a Mozzano,9
Fosdinovo,9
Castelnuovo di Garfagnana,9
Casola in Lunigiana,9
Licciana Nardi,9
Orciano di Pesaro,11
Monteciccardo,11
Montefano,11
Mombaroccio,11
San Lorenzo in Campo,11
Bellante,13
Notaresco,13
Penna Sant'Andrea,13
Pesaro,11
Saltara,11
Castelli,13
Montecassiano,11
Monte Cavallo,11
Colledara,13
Colonnella,13
Basciano,13
Castiglione Messer Raimondo,13
Tavullia,11
Bisenti,13
Spinetoli,11
Aulla,9
Nereto,13
Pietrarubbia,11
Piandimeleto,11
Coreglia Antelminelli,9
Piobbico,11
Controguerra,13
Corropoli,13
Morro d'Oro,13
