,Comune,comuni_adiac_10000_abit
0,abbateggio,0.0
1,acciano,0.0
2,accumoli,0.0
3,acquacanina,0.0
4,acqualagna,1.0
5,acquapendente,0.0
6,acquasanta terme,1.0
7,acquasparta,3.0
8,acquaviva picena,3.0
9,agugliano,2.0
10,alanno,0.0
11,alba adriatica,2.0
12,allerona,1.0
13,allumiere,3.0
14,altidona,1.0
15,alviano,1.0
16,amandola,0.0
17,amatrice,0.0
18,amelia,1.0
19,ancarano,1.0
20,ancona,2.0
21,anghiari,2.0
22,antrodoco,1.0
23,apecchio,1.0
24,apiro,3.0
25,appignano,2.0
26,appignano del tronto,1.0
27,arcevia,0.0
28,arezzo,3.0
29,ari,0.0
30,arielli,0.0
31,arlena di castro,0.0
32,arquata del tronto,0.0
33,arrone,1.0
34,arsita,1.0
35,ascoli piceno,0.0
36,ascrea,0.0
37,assisi,2.0
38,atri,4.0
39,attigliano,1.0
40,avigliano umbro,2.0
41,badia tedalda,1.0
42,bagnoregio,3.0
43,barbara,0.0
44,barbarano romano,1.0
45,barchi,0.0
46,barete,1.0
47,barisciano,1.0
48,baschi,2.0
49,basciano,1.0
50,bassano romano,1.0
51,bassano in teverina,0.0
52,bastia umbra,2.0
53,belforte all'isauro,0.0
54,belforte del chienti,1.0
55,bellante,1.0
56,belmonte piceno,1.0
57,belmonte in sabina,1.0
58,belvedere ostrense,1.0
59,bettona,2.0
60,bevagna,1.0
61,bibbiena,0.0
62,bisenti,1.0
63,blera,1.0
64,bolognano,0.0
65,bolognola,0.0
66,bolsena,2.0
67,bomarzo,1.0
68,borbona,0.0
69,borgo pace,2.0
70,borgo velino,0.0
71,borgorose,1.0
72,bracciano,2.0
73,brittoli,0.0
74,bucchianico,1.0
75,bussi sul tirino,0.0
76,cagli,1.0
77,cagnano amiterno,1.0
78,calascio,0.0
79,calcata,0.0
80,caldarola,0.0
81,calvi dell'umbria,1.0
82,camerano,3.0
83,camerata picena,4.0
84,camerino,0.0
85,campagnano di roma,3.0
86,campello sul clitunno,1.0
87,campli,1.0
88,campofilone,0.0
89,camporotondo di fiastrone,1.0
90,campotosto,1.0
91,canale monterano,0.0
92,canepina,1.0
93,cannara,1.0
94,canosa sannita,0.0
95,cantalice,1.0
96,cantalupo in sabina,0.0
97,cantiano,1.0
98,canzano,1.0
99,capena,2.0
100,capestrano,0.0
101,capitignano,1.0
102,capodimonte,1.0
103,capolona,1.0
104,caporciano,0.0
105,cappelle sul tavo,3.0
106,capranica,1.0
107,caprarola,2.0
108,caprese michelangelo,0.0
109,caramanico terme,1.0
110,carapelle calvisio,0.0
111,carassai,0.0
112,carbognano,0.0
113,carpegna,0.0
114,carpineto della nora,0.0
115,carsoli,0.0
116,cartoceto,1.0
117,casacanditella,0.0
118,casalincontrada,1.0
119,casaprota,0.0
120,cascia,0.0
121,casoli,0.0
122,casperia,1.0
123,castel castagna,0.0
124,castel focognano,1.0
125,castel frentano,1.0
126,castel giorgio,1.0
127,castel ritaldi,1.0
128,castel sant'angelo,1.0
129,castel sant'elia,1.0
130,castel viscardo,1.0
131,castel del monte,0.0
132,castel di lama,1.0
133,castel di tora,0.0
134,castelbellino,1.0
135,casteldelci,0.0
136,castelfidardo,4.0
137,castellalto,1.0
138,castelleone di suasa,0.0
139,castelli,0.0
140,castelnuovo di farfa,1.0
141,castelplanio,0.0
142,castelraimondo,2.0
143,castelsantangelo sul nera,0.0
144,castelvecchio calvisio,0.0
145,castiglion fiorentino,2.0
146,castiglione messer raimondo,1.0
147,castiglione a casauria,0.0
148,castiglione del lago,3.0
149,castiglione in teverina,1.0
150,castignano,1.0
151,castilenti,2.0
152,castorano,1.0
153,catignano,0.0
154,celano,1.0
155,celleno,1.0
156,cellino attanasio,1.0
157,cepagatti,3.0
158,cermignano,1.0
159,cerreto d'esi,2.0
160,cerreto di spoleto,0.0
161,cessapalombo,0.0
162,cetona,0.0
163,chianciano terme,1.0
164,chiaravalle,3.0
165,chieti,4.0
166,chitignano,0.0
167,chiusi,2.0
168,chiusi della verna,1.0
169,cingoli,2.0
170,citerna,2.0
171,cittaducale,1.0
172,cittareale,0.0
173,città sant'angelo,3.0
174,città della pieve,1.0
175,città di castello,5.0
176,civita castellana,0.0
177,civitanova marche,3.0
178,civitaquana,0.0
179,civitella casanova,1.0
180,civitella san paolo,1.0
181,civitella d'agliano,2.0
182,civitella del tronto,1.0
183,collalto sabino,0.0
184,collazzone,2.0
185,colle di tora,0.0
186,collecorvino,1.0
187,colledara,0.0
188,collegiove,0.0
189,collepietro,0.0
190,collevecchio,1.0
191,colli del tronto,1.0
192,colli sul velino,2.0
193,colmurano,1.0
