Provincia;Comune;Cratere Centro Italia 2016
AN;Cerreto d'Esi;1
AN;Fabriano;1
AP;Acquasanta Terme;1
AP;Appignano del Tronto;1
AP;Arquata del Tronto;1
AP;Ascoli Piceno;1
AP;Castel di Lama;1
AP;Castignano;1
AP;Castorano;1
AP;Colli del Tronto;1
AP;Comunanza;1
AP;Cossignano;1
AP;Folignano;1
AP;Force;1
AP;Maltignano;1
AP;Montalto delle Marche;1
AP;Montedinove;1
AP;Montegallo;1
AP;Montemonaco;1
AP;Offida;1
AP;Palmiano;1
AP;Roccafluvione;1
AP;Rotella;1
AP;Venarotta;1
AQ;Montereale;1
AQ;Campotosto;1
AQ;Capitignano;1
FM;Amandola;1
FM;Belmonte Piceno;1
FM;Falerone;1
FM;Massa Fermana;1
FM;Monsampietro Morico;1
FM;Montappone;1
FM;Montefalcone Appennino;1
FM;Montefortino;1
FM;Montegiorgio;1
FM;Monteleone di Fermo;1
FM;Montelparo;1
FM;Monte Rinaldo;1
FM;Monte Vidon Corrado;1
FM;Ortezzano;1
FM;Santa Vittoria in Matenano;1
FM;Servigliano;1
FM;Smerillo;1
MC;Acquacanina;1
MC;Apiro;1
MC;Belforte del Chienti;1
MC;Bolognola;1
MC;Caldarola;1
MC;Camerino;1
MC;Camporotondo di Fiastrone;1
MC;Castelraimondo;1
MC;Castelsantangelo sul Nera;1
MC;Cessapalombo;1
MC;Cingoli;1
MC;Colmurano;1
MC;Corridonia;1
MC;Esanatoglia;1
MC;Fiastra;1
MC;Fiordimonte;1
MC;Fiuminata;1
MC;Gagliole;1
MC;Gualdo;1
MC;Loro Piceno;1
MC;Macerata;1
MC;Matelica;1
MC;Mogliano;1
MC;Monte Cavallo;1
MC;Monte San Martino;1
MC;Muccia;1
MC;Penna San Giovanni;1
MC;Petriolo;1
MC;Pievebovigliana;1
MC;Pieve Torina;1
MC;Pioraco;1
MC;Poggio San Vicino;1
MC;Pollenza;1
MC;Ripe San Ginesio;1
MC;San Ginesio;1
MC;San Severino Marche;1
MC;Sant'Angelo in Pontano;1
MC;Sarnano;1
MC;Sefro;1
MC;Serrapetrona;1
MC;Serravalle di Chienti;1
MC;Tolentino;1
MC;Treia;1
MC;Urbisaglia;1
MC;Ussita;1
MC;Visso;1
PG;Cascia;1
PG;Cerreto di Spoleto;1
PG;Monteleone di Spoleto;1
PG;Norcia;1
PG;Poggiodomo;1
PG;Preci;1
PG;Sant'Anatolia di Narco;1
PG;Scheggino;1
PG;Sellano;1
PG;Spoleto;1
PG;Vallo di Nera;1
RI;Accumoli;1
RI;Amatrice;1
RI;Antrodoco;1
RI;Borbona;1
RI;Borgo Velino;1
RI;Cantalice;1
RI;Castel Sant'Angelo;1
RI;Cittaducale;1
RI;Cittareale;1
RI;Leonessa;1
RI;Micigliano;1
RI;Poggio Bustone;1
RI;Posta;1
RI;Rieti;1
RI;Rivodutri;1
TE;Campli;1
TE;Castelli;1
TE;Civitella del Tronto;1
TE;Cortino;1
TE;Crognaleto;1
TE;Montorio al Vomano;1
TE;Rocca Santa Maria;1
TE;Teramo;1
TE;Torricella Sicura;1
TE;Tossicia;1
TE;Valle Castellana;1
TR;Arrone;1
TR;Ferentillo;1
TR;Montefranco;1
TR;Polino;1
