Comune,Distance_from_big
Ripatransone,11.503605406957439
Trecastelli,46.56743344330544
Massa Fermana,16.838095722280023
Monsampietro Morico,17.30270964319248
Servigliano,21.099886752049795
Montappone,18.537389994004105
Amandola,23.512348236718918
Petritoli,11.574538153883939
Sant'Elpidio a Mare,4.055990799580239
Santa Vittoria in Matenano,19.594816386320097
Orciano di Pesaro,52.28041564153022
Monteciccardo,57.15637570593891
Montefano,9.37691644469756
Mombaroccio,58.83356990391798
San Lorenzo in Campo,43.79127304632197
Pesaro,66.82729688408337
Saltara,55.69498653170725
Montecassiano,6.674128205338414
Monte Cavallo,16.112462168117222
Tavullia,63.48776318115616
Spinetoli,9.980937279698969
Pietrarubbia,40.824665077657514
Piandimeleto,35.26033291486673
Piobbico,26.291652675821247
Mondavio,50.77100148214323
Monte Grimano Terme,49.70800090895671
Castelsantangelo sul Nera,31.683842739665355
Montecalvo in Foglia,51.38604388723627
Sassoferrato,26.227832513488497
Roccafluvione,10.551513330969463
Rotella,10.865885109558246
San Benedetto del Tronto,0.0
Falconara Marittima,27.54531688313487
Sant'Angelo in Vado,27.800908279241455
Venarotta,6.7106644149590045
Offida,13.520462318564821
Fabriano,29.119932164089096
Lunano,37.13039806638466
Acqualagna,34.29734991812752
Cantiano,16.567648416220273
Frontone,23.66688164924171
Auditore,51.30674609462428
Carpegna,36.353489827213124
Frontino,36.91353527422226
Barchi,49.0568614241674
Macerata Feltria,43.78297678514108
Mercatino Conca,51.25071394270565
Montalto delle Marche,16.340756659539167
Palmiano,11.02165907551421
Montefiore dell'Aso,12.775335866801957
Massignano,14.159619019484397
Monsampolo del Tronto,7.489206282302605
Grottammare,6.120050034500582
Maltignano,9.923354718800553
Montemonaco,22.537796646899437
Montegallo,19.314302839993992
Monteprandone,3.7899871016771187
Montedinove,13.740941596383236
Gabicce Mare,70.77462989607596
Borgo Pace,21.913949985022636
Fossombrone,42.468243303374614
Fratte Rosa,45.24664444186891
Cagli,27.29106521584393
Isola del Piano,48.17877076290225
Cartoceto,57.72909539535535
San Costanzo,54.72235586529236
Mercatello sul Metauro,22.17554135134689
Gradara,68.81523448331791
Apecchio,18.63868629232311
Fermignano,38.47784483908235
Belforte all'Isauro,31.209594440647173
Montelupone,6.5499722960157065
Polverigi,18.344435592655714
Gualdo,27.46221194176188
Castelleone di Suasa,47.224470151200606
Monsano,28.157103737009457
Apiro,29.127705880257007
Senigallia,40.99778127166144
Appignano,10.503451513637051
Belforte del Chienti,22.883344736386135
Castelfidardo,7.470937890845395
Bolognola,32.2290575886792
Fiordimonte,25.477172045927073
Montecarotto,39.468037931342444
Chiaravalle,28.370355323008916
Offagna,15.919966578320265
Castelraimondo,33.07330452887283
Rosora,38.03194841054563
Staffolo,25.735629457113827
Poggio San Marcello,37.885744654022986
Ostra Vetere,43.39188252577556
Fiastra,31.41410867656229
Loro Piceno,15.635011958619435
Serra San Quirico,36.7304283997629
Monte Roberto,30.01885821993001
Morro d'Alba,34.1537579839901
Corinaldo,47.924592759850796
Gagliole,31.178693242430118
Esanatoglia,30.725026809209663
Corridonia,7.4967362890930325
Fiuminata,22.767555279322828
Sirolo,14.233550749818948
Cerreto d'Esi,36.214033612425425
Acquacanina,32.21909344636237
Camerino,29.028649052689453
Camporotondo di Fiastrone,24.00741281714204
Cupramontana,31.294984013892147
Osimo,10.799434096883964
Macerata,0.0
Castelplanio,35.95388557570023
Monte San Vito,30.53629560886896
Numana,11.8161816543968
Caldarola,28.27741008477871
Ostra,39.4979295560606
Genga,33.24940770744976
Montemarciano,32.33575758060189
Mondolfo,50.96442646728262
Serrungarina,53.38352469163205
Castelbellino,31.82821819761323
Serra Sant'Abbondio,24.816762356441405
Camerano,13.86518965032879
Camerata Picena,24.08173679662596
Peglio,34.67038435986289
Belvedere Ostrense,35.57668946063999
Jesi,25.2747715090399
Loreto,7.943707527200047
San Paolo di Jesi,28.113807935695203
Montelabbate,59.72122153713743
Santa Maria Nuova,19.296283619174517
San Giorgio di Pesaro,55.80811728788455
Agugliano,21.705252747032315
Mergo,38.67901773725905
Urbino,44.627770727133345
Civitanova Marche,0.0
Sassocorvaro,43.43274261532472
Pergola,35.30315962851738
San Marcello,31.77605959880386
Montefelcino,51.41297908170429
Arcevia,39.369788427265334
Barbara,45.82239098375402
Monte Cerignone,46.95715362330484
Montemaggiore al Metauro,55.55200742096992
Monte Porzio,51.33162551046965
Cessapalombo,29.40395234122542
Sant'Ippolito,47.433233749955654
Montecopiolo,44.94535041609488
Petriano,51.98091914947862
Sassofeltrio,52.97198377023096
Piagge,57.279158022519844
Filottrano,15.385694322584989
Tavoleto,51.73907380197906
Serra de' Conti,42.7507528150716
Cingoli,19.939993029697554
Recanati,0.0
Acquasanta Terme,16.607249785012886
Force,13.663707721101028
Visso,21.70870354049208
San Severino Marche,22.838423969371316
Matelica,34.775134209168215
Colmurano,16.819595028307162
Mogliano,12.97311614421094
Ripe San Ginesio,18.995623450435065
San Ginesio,25.073345799531292
Monte San Giusto,11.901644635894176
Maiolati Spontini,33.74255259731517
Monte San Martino,22.951909432903715
Urbania,31.70069306082529
Ancona,19.326975226000084
Appignano del Tronto,8.928108885570452
Sant'Angelo in Pontano,22.604892290118023
Acquaviva Picena,6.17545610034803
Pioraco,28.10288801763762
Muccia,21.66453395209705
Tolentino,15.495861236635072
Arquata del Tronto,25.280519209181328
Cossignano,16.916353162504105
Sefro,21.762188858972916
Cupra Marittima,10.601398245460084
Pievebovigliana,29.35700507757334
Montecosaro,4.34972136338639
Treia,11.077415527079134
Urbisaglia,12.018791411377297
Folignano,7.319492429588945
Penna San Giovanni,26.063890452429607
Comunanza,14.516861422637495
Castignano,10.535394934163753
Poggio San Vicino,31.53612765543382
Serravalle di Chienti,13.6885430528498
Castorano,12.324909104703785
Colli del Tronto,12.597525554867472
Serrapetrona,26.309929860792824
Potenza Picena,7.16688550859794
Pollenza,9.152394125311812
Morrovalle,8.791620589556025
Ussita,30.54964366520641
Sarnano,30.0434407045353
Porto Recanati,9.969347002462571
Castel di Lama,11.234132543279028
Petriolo,9.331150776287846
Pieve Torina,20.06359192707767
Ascoli Piceno,0.0
Carassai,15.348461028946252
Fano,62.914093169465595
Montefortino,23.25129313159346
Ponzano di Fermo,7.515155921478036
Rapagnano,8.878732871021201
Fermo,0.0
Porto San Giorgio,5.963600091591699
Smerillo,20.2897685893009
Vallefoglia,57.31298549053007
Montottone,14.662079965650753
Campofilone,12.391684317005877
Falerone,21.487751673862828
Ortezzano,16.964451072663763
Porto Sant'Elpidio,0.0
Altidona,9.763900943632313
Francavilla d'Ete,14.065028690232342
Grottazzolina,10.568471028322568
Belmonte Piceno,16.12440909787095
Magliano di Tenna,10.614275272732307
Pedaso,12.44724149959399
Montegranaro,9.57515283571058
Monteleone di Fermo,18.96416074100043
Lapedona,7.542460690553107
Monterubbiano,7.85771451449839
Monte Giberto,10.67991870127814
Torre San Patrizio,8.326359428546596
Monte San Pietrangeli,12.022696272162158
Monte Urano,5.407112636461891
Montegiorgio,14.590647427495124
Monte Vidon Combatte,14.039271167047588
Monte Vidon Corrado,19.292068900869587
Moresco,9.496961727249403
Montelparo,18.120832636633732
Monte Rinaldo,18.26599093576574
Montefalcone Appennino,17.86052076536412
Tuoro sul Trasimeno,19.74381379910452
Polino,16.55931872770226
Narni,14.650613878283332
Gualdo Tadino,18.962093938062736
Guardea,18.242763109816686
Lugnano in Teverina,22.782798570477837
Monte Santa Maria Tiberina,9.76442396320504
Sigillo,15.40996872488167
Castel Giorgio,14.30555790864876
Castel Viscardo,11.342750353516816
Spello,9.630034787325492
Umbertide,17.518462283958176
San Venanzo,15.880948067035094
Baschi,11.586544108597952
Calvi dell'Umbria,21.294607391685965
Costacciaro,13.127964909707083
Porano,7.616939801052282
San Gemini,10.451026282177278
Attigliano,26.026310681261595
Citerna,12.114589037633072
Acquasparta,13.491550948509447
Allerona,17.294213987046312
Città di Castello,0.0
Collazzone,18.59421385972027
Cerreto di Spoleto,19.370658651733418
Città della Pieve,27.46121815712957
Poggiodomo,17.720938473462606
Vallo di Nera,13.679953480273516
Valtopina,9.722745051613545
Cannara,8.52114712897798
Castel Ritaldi,10.663968314648974
Bevagna,13.883644236090925
Campello sul Clitunno,14.863389569912858
Castiglione del Lago,22.34694786411495
Bettona,6.7905425498970615
Cascia,27.4076349938261
Assisi,0.0
Paciano,22.09256762416441
Bastia Umbra,0.0
Spoleto,0.0
Alviano,19.250246154533354
Preci,23.58703985713444
Norcia,34.27035310332072
Passignano sul Trasimeno,11.796095264106437
Montecastrilli,16.783926550413927
Magione,6.977960824131625
Terni,0.0
Piegaro,20.936235638782758
Sellano,12.129467377049005
Scheggino,12.158801887455608
Panicale,16.314380315935527
Sant'Anatolia di Narco,12.371369424040958
Gualdo Cattaneo,18.94166237491997
Ficulle,12.0171730393416
Giove,28.3237078563699
Avigliano Umbro,22.441828871433824
Fossato di Vico,17.7516400312857
Perugia,0.0
Scheggia e Pascelupo,16.354006284320295
San Giustino,12.725448725653267
Fratta Todina,22.574846772792682
Giano dell'Umbria,15.526443309459603
Gubbio,0.0
Pietralunga,13.933492456614351
Valfabbrica,10.409387785311024
Fabro,19.688450778678668
Montecchio,14.311686938110542
Lisciano Niccone,16.442785058981247
Montegabbione,19.827001950160618
Monteleone d'Orvieto,21.312659957372865
Montefranco,8.016669867587357
Arrone,11.380315318354786
Stroncone,10.96467942376424
Amelia,21.154360716933084
Ferentillo,14.380026358427838
Montefalco,15.866554421368646
Massa Martana,14.808212220279097
Monte Castello di Vibio,18.743986663580735
Monteleone di Spoleto,22.136519096616002
Todi,21.712937783521767
Otricoli,20.220606381292015
Parrano,14.088947077752008
Foligno,0.0
Montone,11.59863351004
Penna in Teverina,26.215639396117655
Torgiano,6.875803134145645
Marsciano,18.585929268419587
Corciano,0.0
Nocera Umbra,15.212528358086825
Trevi,10.982032257207184
Orvieto,0.0
Deruta,12.995317252488459
Tufillo,100.12190121922079
Vacri,47.96730630903149
Torano Nuovo,14.481669128094248
Alba Adriatica,9.45845163501606
Ancarano,14.474888782653567
Arsita,21.28657367923428
Barete,13.784363167446747
Barisciano,14.013757469683583
Balsorano,67.31866701231496
Bellante,10.708077478912447
Notaresco,7.954220103288729
Penna Sant'Andrea,9.278686532029258
Castelli,19.27358959257646
Colledara,12.00021316794632
Colonnella,7.211598789797489
Basciano,8.132248200610002
Castiglione Messer Raimondo,20.058897262257005
Bisenti,16.37314757768619
Nereto,13.451605188675737
Controguerra,9.800878546508002
Corropoli,11.471429698559122
Morro d'Oro,4.613853818825735
Ateleta,84.59308202361238
Avezzano,39.64454817403591
Mosciano Sant'Angelo,4.370513949215581
Castilenti,16.47826592762814
Cellino Attanasio,14.346164504430524
Barrea,83.17730867618029
Bisegna,60.56489590906872
San Demetrio ne' Vestini,16.266161009676047
Castelvecchio Subequo,39.88248355980392
Capestrano,33.10900713688072
Capistrello,46.549230730226675
Capitignano,17.461095835275987
Trasacco,50.12521353099695
Cerchio,41.493739989359234
Civita d'Antino,56.53459098418801
Scafa,47.40300517044828
Villalago,60.56881531294796
Serramonacesca,50.17813288191678
Villa Santa Lucia degli Abruzzi,30.374158779476204
Villa Sant'Angelo,16.877999361268465
Tagliacozzo,39.00847279516146
Tornimparte,17.068437747723603
Lucoli,16.41504754376796
Montazzoli,88.52023004502115
