Comune,n_imprese,tot_ricavi,tot_dipendenti,failed,failed_ricavi,failed_dipendenti
Abbateggio,2,205.0,9,1.0,1.0,1.0
Acciano,3,166.0,3,1.0,1.0,1.0
Accumoli,10,1844.0,18,0.5,0.40726681127982645,0.4444444444444444
Acqualagna,51,22745.0,360,0.23529411764705882,0.015344031655308859,0.13055555555555556
Acquapendente,66,60150.0,221,0.3939393939393939,0.06872817955112219,0.25339366515837103
Acquasanta Terme,30,13140.0,93,0.3333333333333333,0.0863013698630137,0.13978494623655913
Acquasparta,44,84771.0,464,0.22727272727272727,0.24948390369348009,0.22413793103448276
Acquaviva Picena,54,94833.0,550,0.3333333333333333,0.07236932291501903,0.034545454545454546
Agugliano,35,33473.0,221,0.37142857142857144,0.025542974935022257,0.06334841628959276
Alanno,34,447737.0,913,0.3235294117647059,0.9452692093796135,0.8313253012048193
Alba Adriatica,325,133418.0,1013,0.41846153846153844,0.2284249501566505,0.19940769990128332
Allerona,10,288.0,18,0.5,0.2222222222222222,0.16666666666666666
Altidona,63,111157.0,650,0.19047619047619047,0.02545048894806445,0.04
Alviano,7,3733.0,28,0.42857142857142855,0.4390570586659523,0.5357142857142857
Amandola,35,25886.0,130,0.34285714285714286,0.08259290736305339,0.23076923076923078
Amatrice,25,10565.0,79,0.44,0.2391859914813062,0.17721518987341772
Amelia,106,70993.0,356,0.2641509433962264,0.03604580733311735,0.08146067415730338
Ancarano,68,298467.0,1265,0.39705882352941174,0.028468808947052775,0.04901185770750988
Ancona,1921,3689029.0,19335,0.3461738677771994,0.39239919230778614,0.25632273079906903
Antrodoco,17,8381.0,55,0.4117647058823529,0.05965875193890944,0.18181818181818182
Apecchio,20,9085.0,85,0.5,0.28706659328563566,0.15294117647058825
Apiro,20,31585.0,186,0.5,0.09741966123159727,0.11827956989247312
Appignano,67,181555.0,706,0.31343283582089554,0.026184902646580927,0.05099150141643059
Appignano del Tronto,11,7539.0,58,0.2727272727272727,0.34991378166865633,0.3793103448275862
Arcevia,43,103987.0,501,0.37209302325581395,0.0261474992066316,0.05389221556886228
Ari,8,7479.0,11,0.625,0.003342692873378794,0.0
Arielli,26,22419.0,190,0.46153846153846156,0.1844417681430929,0.26842105263157895
Arlena di Castro,6,4621.0,37,0.0,0.0,0.0
Arquata del Tronto,9,15149.0,31,0.4444444444444444,0.08581424516469734,0.1935483870967742
Arrone,27,17975.0,105,0.5185185185185185,0.09596662030598054,0.2571428571428571
Arsita,4,620.0,29,0.5,0.49032258064516127,0.5517241379310345
Ascoli Piceno,857,2316490.0,9853,0.31271878646441076,0.16733937983759914,0.24033289353496398
Assisi,408,775394.0,4234,0.38480392156862747,0.07920360487700447,0.11218705715635333
Atri,83,163787.0,842,0.40963855421686746,0.10848235818471551,0.23634204275534443
Attigliano,6,1946.0,8,0.5,0.025179856115107913,0.25
Avigliano Umbro,46,19523.0,100,0.5,0.100650514777442,0.2
Bagnoregio,32,16424.0,163,0.375,0.5353141743789577,0.4785276073619632
Barbara,25,89437.0,410,0.32,0.012343884522065812,0.17317073170731706
Barbarano Romano,9,10414.0,57,0.7777777777777778,0.9354714806990589,0.8771929824561403
Barete,8,1567.0,12,0.5,0.05041480536056158,0.08333333333333333
Barisciano,21,13731.0,134,0.42857142857142855,0.3722962639283373,0.29850746268656714
Baschi,30,12702.0,199,0.4,0.250039363879704,0.22613065326633167
Basciano,52,76047.0,314,0.25,0.023761621102739095,0.044585987261146494
Bassano Romano,27,2473.0,50,0.5555555555555556,0.3129801860088961,0.34
Bassano in Teverina,3,2360.0,12,0.6666666666666666,0.0,0.0
Bastia Umbra,401,913879.0,3457,0.3541147132169576,0.06295362952863563,0.11831067399479317
Belforte all'Isauro,15,43433.0,206,0.2,0.0,0.0
Belforte del Chienti,20,57850.0,215,0.25,0.7773033707865169,0.48372093023255813
Bellante,50,24380.0,145,0.44,0.3426579163248564,0.3724137931034483
Belmonte Piceno,6,1869.0,52,0.3333333333333333,0.4612092027822365,0.34615384615384615
Belmonte in Sabina,3,543.0,15,0.3333333333333333,0.13443830570902393,0.2
Belvedere Ostrense,24,31450.0,272,0.5416666666666666,0.5911287758346582,0.34558823529411764
Bettona,64,83741.0,388,0.359375,0.05478797721546196,0.08505154639175258
Bevagna,42,38108.0,409,0.38095238095238093,0.1302613624435814,0.19070904645476772
Bisenti,16,8162.0,43,0.3125,0.09311443273707425,0.023255813953488372
