Comune,Cratere Centro Italia 2016,Ricavi delle vendite migl EUR Ultimo anno disp.,Dipendenti Ultimo anno disp.,Stato giuridico,ateco2,ComuneOP,costituzione,ubilancio
Cerreto d'Esi,1.0,21872.0,179,Cessata (Fusione),27,Cerreto d'Esi,1995,2017
Cerreto d'Esi,1.0,21804.0,158,Fallita,31,Cerreto d'Esi,1988,2013
Cerreto d'Esi,1.0,16484.0,25,Cessata (Fusione),46,Cerreto d'Esi,1996,2009
Cerreto d'Esi,1.0,14400.0,86,Fallita,17,Cerreto d'Esi,1972,2004
Cerreto d'Esi,1.0,13232.0,8,Cessata (Fusione),27,Cerreto d'Esi,1984,2006
Cerreto d'Esi,1.0,4099.0,2,Fallita,49,Cerreto d'Esi,2006,2008
Cerreto d'Esi,1.0,2784.0,0,Fallita,49,Cerreto d'Esi,2007,2010
Cerreto d'Esi,1.0,1571.0,3,Cessata (In liquidazione),46,Cerreto d'Esi,2014,2019
Cerreto d'Esi,1.0,703.0,9,Fallita,31,Cerreto d'Esi,2012,2015
Cerreto d'Esi,1.0,596.0,10,Fallita,25,Cerreto d'Esi,2003,2006
Cerreto d'Esi,1.0,120.0,1,Fallita,27,Cerreto d'Esi,1975,2014
Cerreto d'Esi,1.0,114.0,0,Cessata (Fusione),68,Cerreto d'Esi,1977,2009
Cerreto d'Esi,1.0,77.0,0,Cessata (In liquidazione),61,Cerreto d'Esi,2013,2016
Cerreto d'Esi,1.0,40,1,In liquidazione,45,Cerreto d'Esi,2009,2016
Cerreto d'Esi,1.0,34,1,Cessata (In liquidazione),41,Cerreto d'Esi,2004,2014
Cerreto d'Esi,1.0,31,13,Cessata (In liquidazione),28,Cerreto d'Esi,2007,2008
Cerreto d'Esi,1.0,0,0,In liquidazione,31,Cerreto d'Esi,2009,2020
Cerreto d'Esi,1.0,0,0,In liquidazione,46,Cerreto d'Esi,2006,2013
Cerreto d'Esi,1.0,0,0,Cessata (In liquidazione),70,Cerreto d'Esi,2004,2016
Cerreto d'Esi,1.0,0,0,Cessata (In liquidazione),68,Cerreto d'Esi,2003,2010
Cerreto d'Esi,1.0,0,0,Cessata (Fusione),70,Cerreto d'Esi,2002,2007
