Comune,AGRICOLTURE,OTHER SERV,PUBLIC ADMIN,REAL ESTATE,ENTERTAINMENT,HOSPITALITY,FINANCE,MANUFACTURING,TECH SERVICES,WHOLE/RETAIL SALES,CONSTRUCTIONS,MINING,WASTE MGMT,UTILITIES,EDUCATION,BUSINESS SUPPORT SERVICES,EXTRA,HEALTHCARE,COMMUNICATION AND INFORMATION SERV.,LOGISTICS
Abbateggio,0.0,0.0,0.0,0.0,0.0,0.24878048780487805,0.0,0.0,0.0,0.0,0.751219512195122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acciano,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7710843373493976,0.0,0.0,0.0,0.0,0.0,0.2289156626506024,0.0,0.0,0.0,0.0
Accumoli,0.30151843817787416,0.0,0.0,0.0650759219088937,0.0,0.0,0.0,0.0,0.0,0.45932754880694143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17407809110629066
Acqualagna,0.029193229281160693,0.0,0.0,0.008045724335018685,0.0,0.010551769619696637,0.0,0.4609804352604968,0.0009672455484721916,0.24097603868982193,0.008529347109254782,0.006331061771817982,0.0,0.0,0.0,0.07131237634644977,0.0,0.1631127720378105,0.0,0.0
Acquapendente,0.0016791354945968411,0.0,0.0,0.004206151288445553,0.004904405652535328,0.005253532834580216,0.0,0.6238736492103075,0.0025270157938487117,0.29893599334995846,0.031022443890274313,0.0,0.004422277639235245,0.0,0.002676641729010806,0.009276807980049876,0.0,0.0032917705735660847,0.007930174563591023,0.0
Acquasanta Terme,0.0,0.0,0.0,0.001141552511415525,0.0008371385083713851,0.03363774733637747,0.0,0.4729832572298326,0.001445966514459665,0.2476407914764079,0.13188736681887367,0.06993911719939117,0.0,0.0,0.0,0.0035007610350076103,0.0,0.00106544901065449,0.0,0.03592085235920852
Acquasparta,0.0,0.0,0.0,0.005155064821696099,0.0,0.02047870144271036,0.0,0.43455898833327433,0.0008493470644442085,0.1706007950832242,0.05610409220134244,0.0,0.0,0.0,0.0,0.00011796487006169562,0.0,0.007974425216170625,0.0,0.304160620967076
Acquaviva Picena,0.0,0.0,0.0,0.0022882329990615083,0.0,0.006896333554775236,0.3468096548669767,0.4942899623548765,0.007655562936952327,0.11693186970780213,0.023578290257610747,0.0,0.0,0.00012653823036284839,0.0,7.381396771166156e-05,0.0,0.0,0.0,0.0013497411238703827
Agugliano,0.0,0.0,0.0,0.015027036716159292,0.0,0.0,0.0,0.4436710184327667,0.0,0.3534789233113255,0.026379470020613627,0.10820661428614108,0.04606697935649628,0.0,0.0,0.0,0.0,0.006452962088847728,0.0007169957876497475,0.0
Alanno,0.0,0.0,0.0,0.0008866812436765333,0.0,0.0,0.0,0.9914771394814367,0.0,0.0017420941311528865,0.0025684721164433585,0.0,0.0,0.0,0.0,6.7003620428957174e-06,0.0,5.360289634316574e-05,3.1268356200180015e-05,0.003234041412704333
