Comune,AGRICOLTURE,REAL ESTATE,HOSPITALITY,MANUFACTURING,TECH SERVICES,WHOLE/RETAIL SALES,CONSTRUCTIONS,BUSINESS SUPPORT SERVICES,COMMUNICATION AND INFORMATION SERV.,LOGISTICS
Acciano,0.0,0.0,0.0,0.0,0.0,0.382089552238806,0.0,0.11343283582089553,0.0,0.0
Accumoli,0.8488549618320611,0.183206106870229,0.0,0.0,0.0,1.2931297709923664,0.0,0.0,0.0,0.4900763358778626
Acquasanta Terme,0.0,0.005110732538330494,0.1505962521294719,2.1175468483816013,0.006473594548551959,1.1086882453151619,0.5904599659284497,0.015672913117546847,0.0,0.1608177172061329
Acquasparta,0.0,0.09287991498405951,0.3689691817215728,7.829543039319873,0.015302869287991499,3.0737513283740703,1.0108395324123274,0.0021253985122210413,0.0,5.480127523910733
Acquaviva Picena,0.0,0.056672760511883,0.1708017759206059,12.242099764951684,0.18960564115957168,2.896056411595717,0.583964481587882,0.0018281535648994515,0.0,0.0334290937581614
Alba Adriatica,0.8193380075004076,0.24873634436654166,1.0746779716288928,2.0864177400945705,0.056171531061470735,4.541089189629871,1.2259905429642914,0.09163541496820479,0.10003261046796022,0.010842980596771563
Allerona,0.03897550111358575,0.0,0.0,0.0,0.12138084632516703,0.0,0.0,0.0,0.0,0.0
Altidona,0.09207009207009206,0.45827145827145827,1.1173151173151172,23.286011286011288,0.043065043065043065,4.722304722304722,2.2322542322542325,0.19423819423819425,0.0,0.0
Alviano,0.0,0.0,0.0,2.165983606557377,0.0,0.383879781420765,0.0,0.0,0.0,0.0
Amandola,0.04861111111111111,0.010555555555555556,0.0,2.5966666666666667,0.006944444444444444,3.6275,0.17333333333333334,0.37166666666666665,0.3025,0.0
Amatrice,0.07654414550966275,0.0,0.04850322091701402,0.17430845017051913,0.0,2.78021978021978,0.9151193633952255,0.008715422508525956,0.0,0.0
Amelia,0.06996835172354803,0.009580018817894106,0.02805576939526131,0.6094431614062099,0.25558121632024633,4.228894021041827,0.2409545804464973,0.0009408947053288854,0.13463347874433323,0.06286887349243007
Ancarano,0.0,0.5332972387655658,0.2582566323768273,86.0774228478614,0.07146724417975095,53.32539252842447,15.076881429344883,1.423389279913373,0.002165674066053059,1.3616675690308608
Antrodoco,0.0,0.035811599844297395,0.05799922148695991,1.1701050992604125,0.0,0.30556636823666794,1.5940054495912805,0.09108602569093033,0.0,0.0
Apiro,0.6091148115687993,0.01621384750219106,0.0,9.992112182296232,0.0,0.11042944785276074,2.455302366345311,0.0,0.0,0.6577563540753725
Appignano,0.06487642585551331,0.39401140684410646,0.048716730038022814,38.16611216730038,0.08293726235741444,3.1855988593155895,0.5033269961977186,0.19035171102661597,0.015209125475285171,0.4636406844106464
Appignano del Tronto,0.0033783783783783786,0.07995495495495496,0.0,1.2747747747747749,0.051238738738738736,1.5405405405405406,1.1182432432432432,0.007882882882882882,0.16891891891891891,0.0
Arquata del Tronto,0.0,0.02695871946082561,0.0,9.907329401853412,0.0,2.1794439764111204,0.0,0.0,0.0,0.6486941870261163
Arrone,0.019307832422586522,0.025865209471766848,0.3380692167577414,4.70528233151184,0.0,0.8601092896174863,0.3304189435336976,0.0,0.2692167577413479,0.0
Arsita,0.04567307692307692,0.0,0.0,0.31971153846153844,0.0,0.0,0.0,0.3798076923076923,0.0,0.0
Ascoli Piceno,0.15295577525529924,0.4927173603482648,0.2616257781032589,14.157756621506163,0.764636478294479,19.428333129907646,1.7561536270800278,0.39495097440904836,0.28394157614223525,0.9713373204768299
Assisi,0.06141574560932861,0.3303287191043388,0.993990771542011,19.685731659333978,0.15913724648567443,2.502950960403477,1.5368601781307007,0.33097256501055194,0.26218836069678436,1.6354043709983188
Atri,0.0009359790340696368,0.08508049419692999,0.018345189067764882,10.4448708348933,0.02368026956196181,0.835174092100337,2.904810932235118,0.004211905653313365,0.0,0.2314676151254212
Attigliano,0.0,0.0,0.0,0.02233009708737864,0.0,0.9058252427184466,0.0,0.01650485436893204,0.0,0.0
Avigliano Umbro,0.048818897637795275,0.03858267716535433,0.07322834645669292,1.5696850393700787,0.0,4.928740157480315,0.30236220472440944,0.16456692913385826,0.4547244094488189,0.09527559055118111
Barete,0.0,0.002663115845539281,0.0,0.09320905459387484,0.0,1.7256990679094542,0.2623169107856192,0.0,0.0,0.0
Barisciano,0.011406844106463879,0.11026615969581749,0.0,3.1439435089625203,0.0010863661053775121,0.0,3.1564367191743616,0.08093427485062465,0.1499185225420967,0.0
Baschi,0.341804788213628,0.0,0.3116022099447514,0.9447513812154696,0.0,1.3112338858195212,1.1874769797421731,0.0,0.0,0.24935543278084715
Basciano,0.0,0.13352506162695152,0.44905505341002466,20.147904683648317,0.0,5.006573541495481,3.132292522596549,0.07723911257189811,0.030402629416598194,0.20542317173377156
Bastia Umbra,0.0625721009644225,0.3181209911863781,0.3070462830510821,18.436620368234045,0.18448617968713948,14.492778367403442,1.3292879885561348,0.2543952747911956,0.44861796871394954,4.939781274514328
Belforte del Chienti,0.07177289769683985,24.975897161221212,0.6636314943760043,0.6411355115158007,0.025709694697375468,2.244777718264596,1.1547937868237814,0.0,0.0,0.0
Bellante,0.12876981343806987,0.7015009117688316,0.0,0.5135362603450694,0.0,1.277177724786085,0.5328938139991584,0.009959321082900827,0.0,0.1865619301444803
Belmonte Piceno,0.0,0.0,0.0,2.4516129032258065,0.03533026113671275,0.0,0.3778801843317972,0.0,0.006144393241167435,0.0
Belmonte in Sabina,0.0,0.0,0.0,0.49312977099236643,0.0,0.0,0.22442748091603054,0.11145038167938931,0.0,0.0
Bettona,2.0628756356911695,0.1994914470642626,0.21428571428571427,13.49283402681461,0.012944983818770227,2.504854368932039,0.15349052242256125,0.0,0.0,0.0
Bevagna,1.2783484788621098,0.029039905175819836,0.02449624654286843,5.021335440537337,0.2088107467404188,0.5942315290399052,0.3719873567759779,0.0,0.0,0.0
Bisenti,0.0,0.07540301612064483,0.0,0.0010400416016640667,0.0,2.99739989599584,1.0863234529381176,0.0,0.0,0.031721268850754034
Bolognola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Borbona,0.057971014492753624,0.0,0.0,0.0,0.0,0.0,3.2254428341384864,0.0,0.0,0.0
Borgo Velino,0.5822267620020429,0.0,0.1317671092951992,1.6281920326864148,0.0,0.0,2.3534218590398366,0.0,0.0,0.0
Borgorose,0.0,0.0,0.0,0.08085295424255887,0.0,0.0,0.028209684584629052,0.003553976010661928,0.3362949800088849,0.033096401599289206
Cagnano Amiterno,0.8486407053637032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5349008082292432
Calascio,1.2941176470588236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Caldarola,0.0,0.08970831040176115,0.0,37.69620253164557,0.0,1.1375894331315355,1.5872317006053935,0.0,0.0,0.0
Calvi dell'Umbria,0.0,0.02182214948172395,0.0,3.521003818876159,0.0,0.0,0.0016366612111292963,0.3791598472449536,0.0,0.5291871249318058
Camerino,0.011022044088176353,0.021042084168336674,0.164758087603779,2.591468651588892,0.10234755224735184,4.159748067563699,0.47223017463498423,5.775551102204409,0.4111079301460063,4.288434010878901
Campello sul Clitunno,0.10828547990155865,0.009844134536505332,0.2132895816242822,14.40853158326497,0.14191960623461855,0.06562756357670221,1.8999179655455292,0.31009023789991796,0.0,0.3826907301066448
Campli,0.04514035830159402,0.42770489490760333,0.06517139229792636,4.77768373536465,0.008040626322471435,1.2886161658908168,0.6903653547750035,0.09338411623642262,0.5536747072929892,0.0
Campofilone,0.108023072889355,0.07341373885684321,0.329837441006817,7.606712113266911,0.0,2.9465128474043,0.3466177241740954,0.1793392763502884,0.12952281069743052,1.9716832721552175
Camporotondo di Fiastrone,2.1221640488656197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campotosto,0.0,0.0,0.0,0.14917127071823205,0.0,0.0,0.5082872928176796,0.0,0.0,0.0
Cannara,0.28973277074542897,0.19854664791373652,0.11931551804969527,2.0555555555555554,0.09751523675574308,6.12892639474918,0.7081575246132208,0.0,0.02531645569620253,0.0
Cantalice,0.0,0.0,0.0,0.08962962962962963,0.0,0.09222222222222222,0.8311111111111111,0.0,0.0,0.0
Cantalupo in Sabina,0.016826923076923076,0.8263221153846154,0.0,0.0,0.0,2.7806490384615383,0.0,0.0,0.0,0.0
Canzano,0.25737959606421545,0.0,0.0,3.867426204039358,0.033661315380631794,0.3537027446918695,3.160020714655619,0.0,0.04350077679958571,0.0
Capestrano,0.0011402508551881414,0.0,0.0,0.5028506271379704,0.5302166476624858,0.0,0.2702394526795895,0.0,0.0,0.0
Capitignano,0.0,0.0,0.0,0.0,0.0,0.0,9.816417910447761,0.0,0.022388059701492536,0.0
Carapelle Calvisio,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0
Carassai,0.04792043399638336,0.006329113924050633,0.0,0.5750452079566004,0.0,0.0,0.1654611211573237,0.0,0.0,0.0
Carsoli,0.0,0.1549243821468093,0.04518627812615271,6.729435632607894,0.010697159719660641,1.8921062338620436,1.5018443378827002,0.0549612689044633,0.20638140907414237,0.4288085577277757
Casaprota,0.0,0.0,0.06206896551724138,0.10344827586206896,0.0,0.0,0.8372413793103448,0.0,0.0,0.0
Cascia,0.0,0.0,1.2397879638291238,0.0,0.016214530714062987,4.641097599002182,0.06766448394137824,0.0,0.0,0.0
Casperia,0.0,0.0463038180341186,0.012185215272136474,1.1307879772542648,0.0,0.39642567018683994,0.05280259951259139,0.0,0.0,0.0
Castel Castagna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
