Comune,media_prima,Comune,media_dopo,var
Cerreto d'Esi,9642.998923739236,Cerreto d'Esi,11285.186840120665,17.029846517338843
Fabriano,125086.9565908159,Fabriano,146338.9701168929,16.989791825854805
Acquasanta Terme,14538.30724682247,Acquasanta Terme,14546.038367269986,0.053177583306385105
Appignano del Tronto,9019.162976629768,Appignano del Tronto,9288.506938159879,2.9863520842014695
Arquata del Tronto,5572.106280750308,Arquata del Tronto,2894.8078242835595,-48.048230266459285
Ascoli Piceno,166681.74888530135,Ascoli Piceno,194034.59543740575,16.410222915843477
Castel di Lama,7722.423957052071,Castel di Lama,10728.718438914028,38.92941514971638
Castignano,11098.80149395244,Castignano,10930.2471719457,-1.5186713817575879
Castorano,6185.895026137762,Castorano,7907.164630467572,27.825716360474768
Colli del Tronto,7666.906570315704,Colli del Tronto,8958.507070135747,16.846435886160258
Comunanza,15650.069880073801,Comunanza,14545.021832579185,-7.0609783596020925
Cossignano,3197.4486469864705,Cossignano,2999.611500754148,-6.187343975603173
Folignano,12919.594826260764,Folignano,16625.497077677228,28.684353505295185
Force,8686.770167076671,Force,8085.3130467571655,-6.923829095871105
Maltignano,7351.651304325543,Maltignano,8490.047096530921,15.484899175448824
Montalto delle Marche,6173.050699569496,Montalto delle Marche,6044.39769984917,-2.0841072912182343
Montedinove,2559.4058912464125,Montedinove,2469.6462481146305,-3.5070499540059163
Montegallo,4639.244080565805,Montegallo,4175.552149321267,-9.994988907502918
Montemonaco,6922.82336510865,Montemonaco,7799.382447209654,12.66187270527372
Offida,21500.384891348916,Offida,24893.590592006036,15.78206956668222
Palmiano,2153.1856037310376,Palmiano,1939.5599924585222,-9.921374678631755
Roccafluvione,8122.489557708078,Roccafluvione,7847.78463423831,-3.382028644272968
Rotella,5150.085447416975,Rotella,7240.991817496229,40.59945007568657
Venarotta,9246.252921279212,Venarotta,9431.992835595778,2.008812822858287
Montereale,5792.180158364084,Montereale,6215.133540723982,7.302144802059394
Campotosto,1404.4492235547355,Campotosto,1025.1676470588236,-27.005716556696157
Capitignano,1181.9919921074213,Capitignano,1424.1640837104073,20.488471429591296
Amandola,22020.476706642068,Amandola,23284.13759426848,5.738571895881123
Belmonte Piceno,4384.066715354654,Belmonte Piceno,4250.075904977376,-3.0563132150336907
Falerone,16174.599067240672,Falerone,16441.14132730015,1.6479064423879326
Massa Fermana,3063.719185629356,Massa Fermana,3625.1566553544494,18.325356721939954
Monsampietro Morico,2946.3839560270603,Monsampietro Morico,2719.5293174962294,-7.699425530293902
Montappone,3437.290731344813,Montappone,4555.233503016591,32.52395153768072
Montefalcone Appennino,4113.5886761992615,Montefalcone Appennino,3629.821964555053,-11.760211088756286
Montefortino,9281.60401291513,Montefortino,8994.69653092006,-3.0911411604701553
Montegiorgio,29805.624910311606,Montegiorgio,30405.026338612373,2.0110345953303512
Monteleone di Fermo,2093.4334127716274,Monteleone di Fermo,1977.8647624434388,-5.520531468692861
Montelparo,3758.994003690037,Montelparo,3458.3360294117647,-7.998362699784299
Monte Rinaldo,1495.440523780238,Monte Rinaldo,1407.8501885369533,-5.857159402225515
Monte Vidon Corrado,2615.9698903239027,Monte Vidon Corrado,2587.696964555053,-1.0807817732699156
Ortezzano,2987.270192701927,Ortezzano,2646.722963800905,-11.399947340987055
Santa Vittoria in Matenano,6516.875730319804,Santa Vittoria in Matenano,6018.354562594269,-7.649695779929668
Servigliano,9394.560142476425,Servigliano,8425.22745098039,-10.318021033398978
Smerillo,1943.8790744157438,Smerillo,1622.2162895927602,-16.547468875843695
Acquacanina,1955.7989826773266,Acquacanina,1573.9645550527903,-19.523193897045427
Apiro,11786.198288232883,Apiro,11816.026753393666,0.2530796142345829
Belforte del Chienti,8578.944841635916,Belforte del Chienti,10444.543288084466,21.746245964821938
Bolognola,2500.1870899959,Bolognola,2144.2229449472097,-14.23750032439668
Caldarola,9494.007841328414,Caldarola,10832.6834653092,14.100216118986019
Camerino,42461.030647806474,Camerino,37919.00248868778,-10.696933375905546
Camporotondo di Fiastrone,1903.3330386428865,Camporotondo di Fiastrone,2207.4444004524885,15.977832341230163
Castelraimondo,19155.436987494875,Castelraimondo,24602.145060331826,28.434266868423265
Castelsantangelo sul Nera,4714.000563755638,Castelsantangelo sul Nera,1928.6405542986424,-59.08696810247947
Cessapalombo,4675.714842148422,Cessapalombo,4594.459294871795,-1.7378208470748269
Cingoli,47768.47003126281,Cingoli,50487.1141214178,5.691294044744845
Colmurano,2659.2262197621976,Colmurano,3149.243438914027,18.427060304619346
Corridonia,57188.6110598606,Corridonia,72387.03567119155,26.57596386704062
Esanatoglia,8532.260916359164,Esanatoglia,10554.314932126697,23.69892383261027
