Territorio;popolazione residente e presente 2011
Assisi;32332
Bastia Umbra;22269
Bettona;4333
Bevagna;5133
Campello sul Clitunno;2594
Cannara;4506
Cascia;4276
Castel Ritaldi;3351
Castiglione del Lago;15610
Cerreto di Spoleto;1101
Citerna;3743
Città della Pieve;7847
Città di Castello;40879
Collazzone;3520
Corciano;20999
Costacciaro;1224
Deruta;9676
Foligno;58154
Fossato di Vico;2830
Fratta Todina;1905
Giano dell'Umbria;4071
Gualdo Cattaneo;6499
Gualdo Tadino;16101
Gubbio;34424
Lisciano Niccone;576
Magione;15004
Marsciano;18540
Massa Martana;3832
Monte Castello di Vibio;1658
Monte Santa Maria Tiberina;1202
Montefalco;6308
Monteleone di Spoleto;644
Montone;1638
Nocera Umbra;5880
Norcia;5159
Paciano;983
Panicale;5936
Passignano sul Trasimeno;5801
Perugia;167643
Piegaro;3859
Pietralunga;2164
Poggiodomo;132
Preci;744
San Giustino;11272
Sant'Anatolia di Narco;540
Scheggia e Pascelupo;1429
Scheggino;520
Sellano;1182
Sigillo;2446
Spello;9028
Spoleto;42543
Todi;17256
Torgiano;6751
Trevi;8786
Tuoro sul Trasimeno;3875
Umbertide;16518
Valfabbrica;3442
Vallo di Nera;392
Valtopina;1451
Acquasparta;4969
Allerona;1845
Alviano;1481
Amelia;12052
Arrone;2775
Attigliano;1908
Avigliano Umbro;2544
Baschi;2743
Calvi dell'Umbria;1866
Castel Giorgio;2278
Castel Viscardo;2979
Fabro;2895
Ferentillo;1976
Ficulle;1746
Giove;1950
Guardea;1933
Lugnano in Teverina;1506
Montecastrilli;5220
Montecchio;1722
Montefranco;1284
Montegabbione;1202
Monteleone d'Orvieto;1549
Narni;20045
Orvieto;22530
Otricoli;1993
Parrano;564
Penna in Teverina;1032
Polino;243
Porano;1927
San Gemini;4946
San Venanzo;2465
Stroncone;4876
Terni;114229
Acqualagna;4529
Apecchio;1973
Auditore;1574
Barchi;1026
Belforte all'Isauro;778
Borgo Pace;624
Cagli;9141
Cantiano;2461
Carpegna;1630
Cartoceto;7988
Colbordolo;6108
Fano;66397
Fermignano;8602
Fossombrone;10239
Fratte Rosa;978
Frontino;308
Frontone;1303
Gabicce Mare;5684
Gradara;4781
Isola del Piano;631
Lunano;1512
Macerata Feltria;2098
Mercatello sul Metauro;1458
Mercatino Conca;1095
