Comune,RCR FORECAST,RCR ACTUAL,OOPP,SMALL DAMAGE REQ.,GREAT DAMAGE REQ.,TOT REQ.,ACCEPTED REQ.,BUILDING STARTED,BUILIDING CONCLUDED,SMALL DAMAGE,GREAT DAMAGE,TOT. DAMAGE,N_Interventi,Eur_Interventi,N_Interventi_priv,Eur_Interventi_priv,N_Interventi_pubb,Eur_Interventi_pubb,pop_iniz_2016,DELTA FORECAST ACTUAL,DELTA G DAMAGE Interventi,P RCR
Acquasanta Terme,0.4245901639344262,0.08885245901639344,0.0006557377049180328,0.0740983606557377,0.04065573770491803,0.11475409836065574,0.05737704918032787,0.05737704918032787,0.032131147540983604,0.15245901639344261,0.27344262295081967,0.4259016393442623,0.3445901639344262,141108.76084262296,0.13934426229508196,54703.532750819664,0.0045901639344262295,3828.241150819672,3050,0.3357377049180328,-0.30393442622950817,0.20926640926640927
Amandola,0.2523591264491777,0.03316257751415476,0.0013480722566729577,0.037746023186842816,0.014289565920733351,0.05203558910757616,0.02291722836344028,0.02291722836344028,0.00862766244270693,0.09436505796710704,0.16069021299541655,0.2550552709625236,0.178215152332165,77273.7169236991,0.06147209490428687,20038.570601240226,0.004044216770018873,6301.821019142626,3709,0.2191965489350229,-0.16392558641143165,0.13141025641025642
Apiro,0.1825691862866584,0.02643535729037588,0.008261049153242462,0.03139198678232136,0.015282940933498555,0.04667492771581991,0.01321767864518794,0.01321767864518794,0.007021891780256092,0.058240396530359353,0.12474184221396117,0.18298223874432054,0.16356877323420074,54819.72163981826,0.05080545229244114,12183.295770342833,0.0037174721189591076,1742.9885377942999,2421,0.15613382899628253,-0.1482858323007022,0.14479638009049775
Appignano del Tronto,0.09665226781857451,0.019438444924406047,0.003779697624190065,0.026457883369330453,0.010259179265658747,0.0367170626349892,0.016198704103671708,0.016198704103671708,0.00755939524838013,0.04049676025917927,0.05669546436285097,0.09719222462203024,0.09017278617710583,31628.199924406046,0.04049676025917927,12167.16901187905,0.0032397408207343412,1707.0084071274298,1852,0.07721382289416846,-0.07991360691144708,0.2011173184357542
Arquata del Tronto,1.6083916083916083,0.08469308469308469,0.008547008547008548,0.046620046620046623,0.0777000777000777,0.12432012432012432,0.06604506604506605,0.06604506604506605,0.03108003108003108,0.22843822843822845,0.00137995337995338,0.22981818181818184,1.4125874125874125,676244.6495881896,0.1717171717171717,99658.70721056721,0.029526029526029528,32446.62811965812,1287,1.5236985236985237,-1.334887334887335,0.052657004830917876
Ascoli Piceno,0.03542976099923936,0.009047599983986548,2.0016814123864046e-05,0.010909163697505905,0.003342807958685296,0.0142519716561912,0.006465430962008087,0.006465430962008087,0.002742303534969374,0.016553905280435564,0.018935906161175388,0.03548981144161095,0.031106129148484728,17947.23310140518,0.016413787581568518,8407.06902438048,0.000880739821450018,1802.504443132231,49958,0.026382161015252814,-0.02776332118979943,0.25536723163841807
Belforte del Chienti,0.12365591397849462,0.03333333333333333,0.004301075268817204,0.026344086021505377,0.016129032258064516,0.04247311827956989,0.01989247311827957,0.01989247311827957,0.012365591397849462,0.04516129032258064,0.07956989247311828,0.12473118279569892,0.10376344086021505,41176.64141935484,0.04946236559139785,16617.834344086023,0.004838709677419355,839.783005376344,1860,0.09032258064516129,-0.08763440860215053,0.26956521739130435
Belmonte Piceno,0.10993975903614457,0.012048192771084338,0.022590361445783132,0.02108433734939759,0.0015060240963855422,0.022590361445783132,0.010542168674698794,0.010542168674698794,0.0030120481927710845,0.0391566265060241,0.07228915662650602,0.11144578313253012,0.08433734939759036,23890.98766566265,0.0286144578313253,5865.335918674698,0.006024096385542169,2059.126506024096,664,0.09789156626506024,-0.08283132530120482,0.1095890410958904
Bolognola,0.7267080745341615,0.18012422360248448,0.037267080745341616,0.13664596273291926,0.06832298136645963,0.20496894409937888,0.09316770186335403,0.09316770186335403,0.055900621118012424,0.391304347826087,0.3416149068322981,0.7329192546583851,0.5962732919254659,342641.4442236025,0.2795031055900621,105735.54608695653,0.062111801242236024,45367.36024844721,161,0.546583850931677,-0.5279503105590062,0.24786324786324787
Caldarola,0.4344752582925503,0.04187058183795541,0.0076128330614464385,0.04567699836867863,0.021207177814029365,0.06688417618270799,0.03317020119630234,0.03317020119630234,0.018488308863512777,0.10821098423056008,0.33007069059271343,0.4382816748232735,0.2588363240891789,138320.65994018488,0.08482871125611746,42769.38015225666,0.005981511691136488,5819.322082653616,1839,0.3926046764545949,-0.23762914627514953,0.09637046307884856
