Comune,Cratere Centro Italia 2016,Variaz
Abbateggio,0,-12.578774507536933
Acciano,0,-18.83626836059894
Accumoli,1,-48.83832213468454
Acquacanina,1,-34.434448221295916
Acqualagna,0,-7.746081546333185
Acquapendente,0,1.1523176024946813
Acquasanta Terme,1,-20.73134501624376
Acquasparta,0,-1.5891426171805934
Acquaviva Picena,0,5.27173561124093
Agugliano,0,15.71526927097547
Alanno,0,4.252193281989532
Alba Adriatica,0,-16.676799825735593
Allerona,0,-3.038832612475788
Allumiere,0,-1.2279001935110692
Altidona,0,-5.414102052207366
Alviano,0,-8.956014928932216
Amandola,1,-15.323766451101708
Amatrice,1,-36.01132886922753
Amelia,0,0.4973146214374527
Ancarano,0,2.6326875280061306
Ancona,0,1.9786151866964738
Anghiari,0,-4.745122688885165
Antrodoco,1,0.565876973563804
Apecchio,0,-4.211026482521113
Apiro,1,-15.395715221022499
Appignano,0,19.806258382500157
Appignano del Tronto,1,-8.182653719046076
Arcevia,0,-3.8809136569078313
Arezzo,0,-8.812234129134152
Ari,0,-6.348083888320997
Arielli,0,-8.194568688511026
Arlena di Castro,0,4.229798345066626
Arquata del Tronto,1,-45.27111933839699
Arrone,1,7.085457429414248
Arsita,0,-6.573114532187661
Ascoli Piceno,1,-1.5079727534682257
Ascrea,0,-23.640829248452498
Assisi,0,0.7280958606984977
Atri,0,2.759056040758936
Attigliano,0,29.033326950470943
Avigliano Umbro,0,-0.5169025760017623
Badia Tedalda,0,12.569591662209284
Bagnoregio,0,-5.870805026351541
Barbara,0,-0.3247419027096696
Barbarano Romano,0,-5.897793820956609
Barchi,0,-13.090890321346524
Barete,0,-15.90122804078443
Barisciano,0,-4.92571858542139
Baschi,0,26.43548516832146
Basciano,0,-1.1518491466011862
Bassano Romano,0,14.42447376095752
Bassano in Teverina,0,7.087241455577349
Bastia Umbra,0,0.6657218643886578
Belforte all'Isauro,0,-2.5110442217357125
Belforte del Chienti,1,-6.088457727435632
Bellante,0,-0.24125088278832532
Belmonte Piceno,1,-2.4215217578948987
Belmonte in Sabina,0,18.693081206748488
Belvedere Ostrense,0,12.212057955686085
Bettona,0,-11.246069585582687
Bevagna,0,-16.52620184755792
Bibbiena,0,-1.5794518887669167
Bisenti,0,-16.63057099495245
Blera,0,1.5429900113051733
Bolognano,0,-10.747328272202743
Bolognola,1,-26.803231354876655
Bolsena,0,-8.023074113768113
Bomarzo,0,-10.925373503632594
Borbona,1,-5.540457264726925
Borgo Pace,0,-6.180100616881657
Borgo Velino,1,-15.378633888614758
Borgorose,0,6.819838447788971
Bracciano,0,16.333632585075772
Brittoli,0,-8.827195198313262
Bucchianico,0,-8.669439727272675
Bussi sul Tirino,0,2.9049872140921282
Cagli,0,-7.096275452249537
Cagnano Amiterno,0,-9.958587398713153
Calascio,0,-14.18116112431621
Calcata,0,-8.423277965793801
Caldarola,1,-2.3908814531028115
Calvi dell'Umbria,0,25.928689215102274
Camerano,0,-13.36757479963595
Camerata Picena,0,6.969143428024545
Camerino,1,-19.491963252350317
Campagnano di Roma,0,18.54012785815874
Campello sul Clitunno,0,8.044300474629786
Campli,1,-0.31619721130409695
Campofilone,0,-7.804430969440541
Camporotondo di Fiastrone,1,-5.999701047031876
Campotosto,1,-46.73698118338059
Canale Monterano,0,-8.271022327743536
Canepina,0,-5.4701699737261755
Cannara,0,-11.573551605935894
Canosa Sannita,0,47.5787624524451
Cantalice,1,-7.374008089125667
Cantalupo in Sabina,0,4.353977473287273
Cantiano,0,-0.802328453250645
Canzano,0,-1.0087263105095747
Capena,0,12.685773560350308
Capestrano,0,1.3754138018792679
Capitignano,1,-5.62781598103256
Capodimonte,0,-16.385386530353028
Capolona,0,2.2308384025302885
Caporciano,0,4.642062107015393
Cappelle sul Tavo,0,-6.35464029425778
Capranica,0,-1.7275511286483907
Caprarola,0,-6.099374090458712
Caprese Michelangelo,0,-13.827573005631816
Caramanico Terme,0,-13.254957390208515
Carapelle Calvisio,0,-9.931566554466698
Carassai,0,-11.98962656696076
Carbognano,0,-29.087196410203454
Carpegna,0,-2.179313326509851
Carpineto della Nora,0,-12.00279415487328
Carsoli,0,-7.356751273805873
Cartoceto,0,-0.7470994494562602
Casacanditella,0,1.3080169564655628
Casalincontrada,0,-7.8687928857714695
Casaprota,0,-1.1941159605994
Cascia,1,-23.627854280487856
Casoli,0,-5.908935136110426
Casperia,0,-6.787267753209552
Castel Castagna,0,0.14458119767339622
Castel Focognano,0,-19.50976586951312
Castel Frentano,0,-5.542018463471415
Castel Giorgio,0,18.81684439009226
Castel Ritaldi,0,-19.74256040016762
Castel Sant'Angelo,1,-16.07610013182259
Castel Sant'Elia,0,7.40669136948959
Castel Viscardo,0,14.592457724986375
Castel del Monte,0,-4.061298746096294
Castel di Lama,1,8.899678117877647
Castel di Tora,0,-36.86263446167178
Castelbellino,0,-16.18811224829444
Casteldelci,0,-8.038798155386264
Castelfidardo,0,-4.2147794159628775
Castellalto,0,7.587192577976828
Castelleone di Suasa,0,-18.669639296163723
Castelli,1,-8.88168705950441
Castelnuovo di Farfa,0,93.40510593089783
Castelplanio,0,3.125281413157156
Castelraimondo,1,-0.590848526340685
Castelsantangelo sul Nera,1,-63.45830820067738
Castelvecchio Calvisio,0,-12.439592617528769
Castiglion Fiorentino,0,-3.8979859692555414
Castiglione Messer Raimondo,0,1.0835666456833117
Castiglione a Casauria,0,11.015341617553922
Castiglione del Lago,0,2.479990417983487
Castiglione in Teverina,0,-2.2015236733061645
Castignano,1,-11.452026652288065
Castilenti,0,7.113618353731933
Castorano,1,-1.275064567014583
Catignano,0,27.019384758922477
Celano,0,-30.75397228613676
Celleno,0,1.06743035144842
Cellino Attanasio,0,1.8373819558822821
Cepagatti,0,-6.356024631296936
Cermignano,0,36.31754634611376
Cerreto d'Esi,1,3.7313791541553814
Cerreto di Spoleto,1,-16.75718137073868
Cessapalombo,1,-11.559829383598442
Cetona,0,-10.086702766789257
Chianciano Terme,0,-10.032093943962048
Chiaravalle,0,1.2501057960123336
Chieti,0,0.011817385240413527
Chitignano,0,-8.968916404568624
Chiusi,0,-0.08744133380148857
Chiusi della Verna,0,7.455772034872236
Cingoli,1,10.449960025093358
Citerna,0,-1.4302442673811795
Cittaducale,1,-3.9183291703988226
Cittareale,1,-14.225779600306835
Città Sant'Angelo,0,-3.724757937749866
Città della Pieve,0,-1.193603612959643
Città di Castello,0,43.43700544613359
Civita Castellana,0,2.132230689036782
Civitanova Marche,0,1.3013064654145188
Civitaquana,0,18.278261945192277
Civitella Casanova,0,6.904605249131415
Civitella San Paolo,0,8.621886852742012
Civitella d'Agliano,0,-20.52256747826663
Civitella del Tronto,1,-18.466909882445165
Collalto Sabino,0,-8.840056548829088
Collazzone,0,-5.190201677611122
Colle di Tora,0,-19.600980192682663
Collecorvino,0,-0.6029494051584855
Colledara,0,-15.859242696218828
Collegiove,0,-17.769695818403573
Collepietro,0,-0.7587426703472311
Collevecchio,0,-15.213990497552828
Colli del Tronto,1,19.91564680272501
Colli sul Velino,0,-12.518845368342385
Colmurano,1,6.767205309537694
Colonnella,0,-17.238457774995215
Comunanza,1,-10.06996343605038
Concerviano,0,-23.30503738262958
Configni,0,80.67977215897187
Contigliano,0,-5.337203225299365
Controguerra,0,1.08089661106918
Corchiano,0,-9.840576749704736
Corciano,0,4.950973914795746
Corfinio,0,-8.495335794981585
Corinaldo,0,-15.340221265163168
Corridonia,1,-2.509210820254357
Corropoli,0,9.382193792467543
Cortino,1,-10.102808124205522
Cortona,0,-3.5501851858469546
Corvara,0,-1.7646836423009182
Cossignano,1,-6.403264311633766
Costacciaro,0,18.178160498017828
Cottanello,0,-14.170546998742637
Crecchio,0,-11.324693761394284
Crognaleto,1,-20.94695564777604
Cugnoli,0,14.787148202142337
Cupra Marittima,0,-16.856490105331652
Cupramontana,0,-8.755485812318426
Deruta,0,0.6260657775663421
Elice,0,-1.6628229453605319
Esanatoglia,1,0.05174625439671026
Fabriano,1,3.8898373083748425
Fabrica di Roma,0,22.38009621274895
Fabro,0,27.26989020781479
Fagnano Alto,0,-21.067643595121286
Falconara Marittima,0,-7.391726677118767
Faleria,0,-13.056718918626354
Falerone,1,0.4228738514206452
Fano,0,-18.3568624169318
Fano Adriano,0,-24.757530134667473
Fara Filiorum Petri,0,4.565342022148343
Fara in Sabina,0,-16.896525928479182
Farindola,0,45.08007894298413
Ferentillo,1,-15.06814527129923
Fermignano,0,8.065456289141295
Fermo,0,-11.4547216775439
Fiamignano,0,22.608709443647456
Fiano Romano,0,18.361440105826176
Fiastra,1,-31.666254459634295
Ficulle,0,-3.6047996727518794
Filacciano,0,-9.78327796019527
