Comune,Cratere Centro Italia 2016,media_prima,media_dopo,varPhones,Variaz,Variaz_init,Variaz_end
Abbateggio,0.0,490.1281912842267,528.0046790235082,0.07727873730347573,-14.463815772079336,0.7050661311664652,-19.22715064697638
Acciano,0.0,768.1368684920941,819.7758024412296,0.06722621458140182,-14.874263873933572,-4.698443533680987,-18.069676707692903
Accumoli,1.0,1851.5357018897032,756.2455809222423,-0.5915576566250343,-50.16135731665767,-10.301178681952232,-62.678257390201686
Acquacanina,1.0,661.0767643655997,515.8628842676311,-0.21966265935442864,-34.80012492043,-9.64158034545082,-42.70041536635985
Acqualagna,0.0,6232.440927497108,6788.446451175407,0.0892115192340196,-9.51870024700976,-9.40007914969796,-9.555949664160469
Acquapendente,0.0,9869.870651754725,11145.026785714286,0.1291968434999557,0.9084830167338568,-2.141305751920816,1.866178204517844
Acquasanta Terme,1.0,4675.825568839182,4551.677407323689,-0.02655106776070638,-20.58104334674201,-9.636774740819057,-24.01776443557048
Acquasparta,0.0,5907.149691477054,6861.913494575046,0.16162851001990733,-2.084250204215677,0.3379560354670822,-2.844871819524401
Acquaviva Picena,0.0,4730.747184728114,5541.411211573237,0.17136067415779976,6.299098881197833,1.9677874337711212,7.659218038507225
Agugliano,0.0,4568.25622830698,5017.546485081374,0.09835049400039966,13.574457415669746,5.573528854167347,16.086910363201056
Alanno,0.0,3086.1664577709216,3446.715054249548,0.11682733300751492,1.9684124794492392,-1.1859451246295818,2.9589443907162267
Alba Adriatica,0.0,12421.133146934053,14534.004893761301,0.17010297867620675,-12.924079167022414,-12.12576270959978,-13.174766636745014
Allerona,0.0,3009.621249517933,3398.198157775769,0.1291115645598516,-2.98800464912007,2.6805581062773323,-4.768047689573122
Allumiere,0.0,1848.4676436559969,2048.4700158227847,0.10819901168040603,0.8722316872873553,-1.2069979643211095,1.525151736081943
Altidona,0.0,3722.3298688777477,4426.692450271247,0.18922626586177843,-1.4754177718960295,-1.975737834478164,-1.3183071807589
Alviano,0.0,1300.5829251831854,1306.4937613019893,0.004544759126352029,-4.844110939883468,12.026932576013838,-10.141958893857169
Amandola,1.0,6960.993251060548,7448.9213381555155,0.0700946071195557,-16.14601152663933,-2.843389225925644,-20.323303243770678
Amatrice,1.0,5160.892537601234,3156.8349683544307,-0.3883160818880919,-33.683988202235234,-16.59137716427442,-39.051412827167375
Amelia,0.0,14884.27328384111,15800.434889240507,0.061552323578606544,0.2989591059717876,-0.0937672782863846,0.4222831119440984
Ancarano,0.0,2967.7309005013494,3209.157301084991,0.08135050268299483,0.334460308616314,-2.495546112674632,1.2231394063046694
Ancona,0.0,98441.94251831855,105672.00820524413,0.07344497174647047,3.3560326701125125,4.689066459935286,2.937433172734907
Anghiari,0.0,13585.24650983417,14393.536607142858,0.0594976393489494,-2.2874105268946363,4.123068505809532,-4.300430242918813
Antrodoco,1.0,2939.074874662553,3078.275723327306,0.047362130806801926,2.9160351757149807,2.4541710403107277,3.061069830059849
Apecchio,0.0,3847.466505977632,4259.799649638336,0.10717004112188645,-7.168570610813305,-5.354430258658042,-7.738247272712175
Apiro,1.0,3811.7994600848438,3893.8276220614825,0.021519537645039957,-17.092914584653396,0.736089116307213,-22.69158135885264
Appignano,0.0,5046.416342074816,5968.483318264014,0.18271718258785066,19.40061975598935,-0.1942750154219057,25.55381194444121
Appignano del Tronto,1.0,2900.9753085229463,2993.201955244123,0.03179160003541517,-9.717244610512012,-0.613910178388735,-12.575875237012276
Arcevia,0.0,8712.014568067874,8398.742054701628,-0.03595867648276015,-10.025877353251628,-1.470766034849575,-12.71235486434961
Arezzo,0.0,132517.00781912843,160699.34335443037,0.21266957350688015,-7.014312857352636,2.634184571626417,-10.044135660836671
Ari,0.0,1099.4545507134592,1265.317472875226,0.15085928022594014,-5.073366787270029,2.5716272150705928,-7.474049104002653
Arielli,0.0,1340.1343038951022,1600.8167834538879,0.19451966776845547,-6.011913857181624,3.741478230229256,-9.07467569914495
Arlena di Castro,0.0,46.507105669109144,49.09038200723327,0.055545841887124525,4.881127785186,5.592227579178368,4.657828106945961
Arquata del Tronto,1.0,1954.7356922483611,886.9285714285714,-0.546266753635416,-46.61887173361411,3.0677253076339217,-62.22146538627419
