Comune,Cratere Centro Italia 2016,Variaz
Abbateggio,0,-2.2334384323811065
Acciano,0,3.867912042039841
Accumoli,1,-46.246533360517084
Acquacanina,1,-22.06159218821934
Acqualagna,0,-0.15961376007393996
Acquapendente,0,8.406422497436722
Acquasanta Terme,1,-7.750611358811933
Acquasparta,0,5.30764592238336
Acquaviva Picena,0,9.641215665702717
Agugliano,0,17.155583237812213
Alanno,0,7.612318646849109
Alba Adriatica,0,19.60317256589978
Allerona,0,5.285250961097224
Allumiere,0,11.012664392399595
Altidona,0,16.12406181332969
Alviano,0,-2.3594568138377046
Amandola,1,-5.463606466094307
Amatrice,1,-26.874514880151384
Amelia,0,2.3391055222745956
Ancarano,0,4.301161608189282
Ancona,0,3.3042633980314955
Anghiari,0,-0.25236732926001276
Antrodoco,1,3.5175196168515757
Apecchio,0,5.040226281909107
Apiro,1,-7.598554987042536
Appignano,0,18.285607822696605
Appignano del Tronto,1,-2.889013319438951
Arcevia,0,-4.733335143890033
Arezzo,0,3.9113017217143415
Ari,0,5.66410000009379
Arielli,0,5.427303511002721
Arlena di Castro,0,4.492390156059479
Arquata del Tronto,1,-33.89433772367728
Arrone,1,12.235385804168256
Arsita,0,-2.924534855859943
Ascoli Piceno,1,3.7326864839356695
Ascrea,0,-10.152515808422962
Assisi,0,8.628523462586797
Atri,0,11.036474017923865
Attigliano,0,16.89033788610457
Avigliano Umbro,0,9.743033517590614
Badia Tedalda,0,16.89163065034346
Bagnoregio,0,12.65225229910128
Barbara,0,2.4801222764959503
Barbarano Romano,0,0.763321382085232
Barchi,0,-6.292920763710623
Barete,0,-2.9199641694281873
Barisciano,0,4.661033264785438
Baschi,0,11.127072849009984
Basciano,0,3.2098330248650533
Bassano Romano,0,10.253482061086698
Bassano in Teverina,0,15.677140334583914
Bastia Umbra,0,5.157455964541584
Belforte all'Isauro,0,15.418432042830704
Belforte del Chienti,1,6.351762890468987
Bellante,0,13.129691511111174
Belmonte Piceno,1,-3.8860473968927542
Belmonte in Sabina,0,35.32165861944976
Belvedere Ostrense,0,14.193225111745713
Bettona,0,-5.7097698606614316
Bevagna,0,-7.355705356150737
Bibbiena,0,6.7256217743589835
Bisenti,0,-14.302028822996126
Blera,0,2.2018679822779634
Bolognano,0,-1.6092090546170341
Bolognola,1,-17.76799993760975
Bolsena,0,-4.031003358408069
Bomarzo,0,1.0623202585820601
Borbona,1,10.77926722430814
Borgo Pace,0,3.182031233800998
Borgo Velino,1,-2.4185561665718582
Borgorose,0,13.959695044922649
Bracciano,0,2.9093466072284015
Brittoli,0,8.122524805859271
Bucchianico,0,2.8426371225909497
