Comune,Cratere Centro Italia 2016,media_prima,media_dopo,varPhones,Variaz
Abbateggio,0.0,490.1281912842267,528.0046790235082,0.07727873730347573,-2.2334384323811065
Acciano,0.0,768.1368684920941,819.7758024412296,0.06722621458140182,3.867912042039841
Accumoli,1.0,1851.5357018897032,756.2455809222423,-0.5915576566250343,-46.24653336051709
Acquacanina,1.0,661.0767643655997,515.8628842676311,-0.21966265935442864,-22.06159218821934
Acqualagna,0.0,6232.440927497108,6788.446451175407,0.0892115192340196,-0.1596137600739399
Acquapendente,0.0,9869.870651754725,11145.026785714286,0.1291968434999557,8.406422497436722
Acquasanta Terme,1.0,4675.825568839182,4551.677407323689,-0.02655106776070638,-7.750611358811933
Acquasparta,0.0,5907.149691477054,6861.913494575046,0.16162851001990733,5.30764592238336
Acquaviva Picena,0.0,4730.747184728114,5541.411211573237,0.17136067415779976,9.641215665702717
Agugliano,0.0,4568.25622830698,5017.546485081374,0.09835049400039966,17.155583237812213
Alanno,0.0,3086.1664577709216,3446.715054249548,0.11682733300751492,7.612318646849109
Alba Adriatica,0.0,12421.133146934053,14534.004893761301,0.17010297867620675,19.60317256589978
Allerona,0.0,3009.621249517933,3398.198157775769,0.1291115645598516,5.285250961097224
Allumiere,0.0,1848.4676436559969,2048.4700158227847,0.10819901168040603,11.012664392399596
Altidona,0.0,3722.3298688777477,4426.692450271247,0.18922626586177843,16.12406181332969
Alviano,0.0,1300.5829251831854,1306.4937613019893,0.004544759126352029,-2.359456813837705
Amandola,1.0,6960.993251060548,7448.9213381555155,0.0700946071195557,-5.463606466094307
Amatrice,1.0,5160.892537601234,3156.8349683544307,-0.3883160818880919,-26.874514880151384
Amelia,0.0,14884.27328384111,15800.434889240507,0.061552323578606544,2.339105522274596
Ancarano,0.0,2967.7309005013494,3209.157301084991,0.08135050268299483,4.301161608189282
Ancona,0.0,98441.94251831855,105672.00820524413,0.07344497174647047,3.3042633980314955
Anghiari,0.0,13585.24650983417,14393.536607142858,0.0594976393489494,-0.2523673292600127
Antrodoco,1.0,2939.074874662553,3078.275723327306,0.047362130806801926,3.517519616851576
Apecchio,0.0,3847.466505977632,4259.799649638336,0.10717004112188645,5.040226281909107
Apiro,1.0,3811.7994600848438,3893.8276220614825,0.021519537645039957,-7.598554987042536
Appignano,0.0,5046.416342074816,5968.483318264014,0.18271718258785066,18.285607822696605
Appignano del Tronto,1.0,2900.9753085229463,2993.201955244123,0.03179160003541517,-2.889013319438951
Arcevia,0.0,8712.014568067874,8398.742054701628,-0.03595867648276015,-4.733335143890033
Arezzo,0.0,132517.00781912843,160699.34335443037,0.21266957350688015,3.9113017217143415
Ari,0.0,1099.4545507134592,1265.317472875226,0.15085928022594014,5.66410000009379
Arielli,0.0,1340.1343038951022,1600.8167834538879,0.19451966776845547,5.427303511002721
Arlena di Castro,0.0,46.507105669109144,49.09038200723327,0.055545841887124525,4.492390156059479
Arquata del Tronto,1.0,1954.7356922483611,886.9285714285714,-0.546266753635416,-33.89433772367728
Arrone,1.0,2807.1710470497496,3393.2359516274864,0.20877420533161775,12.235385804168256
Arsita,0.0,1117.0827034323179,1128.3089172694395,0.010049581649262153,-2.924534855859943
Ascoli Piceno,1.0,49045.68945237177,56735.39413426763,0.1567865548992502,3.7326864839356695
Ascrea,0.0,350.3102583879676,316.90476943942133,-0.09535972227096418,-10.152515808422962
Assisi,0.0,44963.84714616275,51809.58143083183,0.1522497454992194,8.628523462586797
Atri,0.0,9143.62564596992,10833.198451627488,0.18478149380516823,11.036474017923863
Attigliano,0.0,1306.570227535673,1406.4136980108499,0.07641645919292991,16.89033788610457
