Comune;Provincia;RCR Danni Lievi;RCR Danni Gravi ;RCR Totali
Acquaviva Picena;Ascoli Piceno;3;2;5
Agugliano;Ancona;-;1;1
Ancona;Ancona;7;4;11
Appignano;Macerata;8;4;12
Arcevia;Ancona;7;-;7
Belvedere Ostrense;Ancona;-;2;2
Cagli;Pesaro e Urbino;5;-;5
Cantiano;Pesaro e Urbino;1;-;1
Carassai;Ascoli Piceno;14;5;19
Castelbellino;Ancona;2;1;3
Castelfidardo;Ancona;-;1;1
Castelplanio;Ancona;5;1;6
Civitanova Marche;Macerata;2;-;2
Cupra Marittima;Ascoli Piceno;2;-;2
Cupramontana;Ancona;11;8;19
Falconara Marittima;Ancona;1;-;1
Fermo;Fermo;67;23;90
Filottrano;Ancona;5;1;6
Francavilla d'Ete;Fermo;4;-;4
Genga;Ancona;12;6;18
Grottammare;Ascoli Piceno;5;1;6
Grottazzolina;Fermo;4;-;4
Jesi;Ancona;2;2;4
Lapedona;Fermo;2;-;2
Loreto;Ancona;1;-;1
Magliano di Tenna;Fermo;2;-;2
Maiolati Spontini;Ancona;5;2;7
Massignano;Ascoli Piceno;1;1;2
Mergo;Ancona;2;1;3
Monsampolo del Tronto; Ascoli Piceno;4;2;6
Monte Giberto;Fermo;1;1;2
Monte Roberto;Ancona;3;2;5
Monte San Giusto;Macerata;7;3;10
Monte San Pietrangeli;Fermo;4;-;4
Monte San Vito;Ancona;1;2;3
Monte Urano;Fermo;6;-;6
Monte Vidon Combatte;Fermo;2;1;3
Montecassiano;Macerata;8;2;10
Montecosaro;Macerata;2;1;3
Montefano;Macerata;12;3;15
Montefiore dell'Aso;Ascoli Piceno;2;1;3
Montegranaro;Fermo;10;3;13
Montelupone;Macerata;7;5;12
Monteprandone;Ascoli Piceno;5;1;6
Monterubbiano;Fermo;1;-;1
Montottone;Fermo;3;3;6
Morro d'Alba;Ancona;-;1;1
Morrovalle;Macerata;7;4;11
Offagna;Ancona;1;-;1
Osimo;Ancona;1;1;2
Ostra;Ancona;-;1;1
Pedaso;Fermo;1;-;1
Pergola;Pesaro e Urbino;20;2;22
Petritoli;Fermo;4;1;5
Ponzano di Fermo;Fermo;-;2;2
Porto Recanati;Macerata;4;-;4
Porto San Giorgio;Fermo;1;-;1
Porto Sant'Elpidio;Fermo;4;1;5
Potenza Picena;Macerata;9;2;11
Rapagnano;Fermo;2;2;4
Recanati;Macerata;11;3;14
Ripatransone;Ascoli Piceno;1;2;3
Rosora;Ancona;1;2;3
San Benedetto del Tronto;Ascoli Piceno;-;1;1
San Lorenzo in Campo;Pesaro e Urbino;2;-;2
San Marcello;Ancona;1;1;2
San Paolo di Jesi;Ancona;3;1;4
Santa Maria Nuova;Ancona;-;1;1
Sant'Elpidio a Mare;Fermo;12;1;13
Sant'Ippolito;Pesaro e Urbino;1;-;1
Sassoferrato;Ancona;18;4;22
Senigallia;Ancona;-;2;2
Serra de' Conti;Ancona;2;-;2
Serra San Quirico;Ancona;8;7;15
Serra Sant'Abbondio;Pesaro e Urbino;1;6;7
Spinetoli;Ascoli Piceno;6;1;7
Staffolo;Ancona;7;12;19
Torre San Patrizio;Fermo;2;1;3
Acquasparta;Terni;3;1;4
Alviano;Terni;1;-;1
Amelia;Terni;3;5;8
Assisi;Perugia;6;-;6
Avigliano Umbro;Terni;3;1;4
Baschi;Terni;1;-;1
Bastia Umbra;Perugia;5;1;6
Bettona;Perugia;1;-;1
Bevagna;Perugia;10;4;14
Calvi dell'Umbria;Terni;1;-;1
Campello sul Clitunno;Perugia;9;3;12
Cannara;Perugia;5;3;8
Castel Ritaldi;Perugia;5;2;7
Collazzone;Perugia;2;4;6
Deruta;Perugia;4;3;7
Foligno;Perugia;95;12;107
Fossato di Vico;Perugia;6;-;6
Fratta Todina;Perugia;2;3;5
Giano dell'Umbria;Perugia;2;2;4
Giove;Terni;-;1;1
Gualdo Cattaneo;Perugia;15;4;19
Gualdo Tadino;Perugia;10;3;13
Gubbio;Perugia;18;4;22
Marsciano;Perugia;11;8;19
Massa Martana;Perugia;3;2;5
Monte Castello di Vibio;Perugia;2;1;3
Montecastrilli;Terni;4;4;8
Montefalco;Perugia;15;6;21
Narni;Terni;7;4;11
Nocera Umbra;Perugia;4;-;4
Otricoli;Terni;-;2;2
Panicale;Perugia;1;-;1
Passignano sul Trasimeno;Perugia;-;1;1
Perugia;Perugia;3;1;4
Piegaro;Perugia;1;-;1
San Venanzo;Terni;3;2;5
Scheggia e Pascelupo;Perugia;1;-;1
Sigillo;Perugia;1;-;1
Spello;Perugia;32;3;35
Terni;Terni;10;4;14
Todi;Perugia;15;5;20
Trevi;Perugia;16;1;17
Valfabbrica;Perugia;1;2;3
Valtopina;Perugia;2;-;2
Abbateggio;Pescara;1;1;2
Alanno;Pescara;2;8;10
Ancarano;Teramo;1;2;3
Arsita;Teramo;2;4;6
Atri;Teramo;4;1;5
Basciano;Teramo;14;8;22
Bellante;Teramo;9;4;13
Bisenti;Teramo;13;2;15
Bolognano;Pescara;-;2;2
Calascio;L'Aquila;5;-;5
Cansano;L'Aquila;3;-;3
Canzano;Teramo;11;1;12
Caporciano;L'Aquila;1;-;1
Caramanico Terme;Pescara;2;-;2
Carpineto della Nora;Pescara;1;1;2
Castel del Monte;L'Aquila;3;-;3
Castellalto;Teramo;18;5;23
Castiglione a Casauria;Pescara;11;-;11
Castiglione Messer Raimondo;Teramo;5;2;7
Castilenti;Teramo;1;2;3
Catignano;Pescara;7;5;12
Cellino Attanasio;Teramo;33;1;34
Cermignano;Teramo;9;-;9
Chieti;Chieti;1;-;1
Civitaquana;Pescara;1;1;2
Civitella Casanova;Pescara;6;1;7
Civitella Roveto;L'Aquila;-;1;1
Collecorvino;Pescara;2;-;2
Colonnella;Teramo;1;-;1
Controguerra;Teramo;2;-;2
Corfinio;L'Aquila;6;2;8
Corropoli;Teramo;6;1;7
Corvara;Pescara;1;-;1
Cugnoli;Pescara;1;-;1
Elice;Pescara;3;1;4
Gagliano Aterno;L'Aquila;3;1;4
Giulianova;Teramo;-;1;1
Introdacqua;L'Aquila;2;-;2
L'Aquila;L'Aquila;15;1;16
Loreto Aprutino;Pescara;1;-;1
Martinsicuro;Teramo;-;1;1
Molina Aterno;L'Aquila;1;1;2
Montebello di Bertona;Pescara;1;1;2
Montefino;Teramo;6;1;7
Montesilvano;Pescara;4;-;4
Morro d'Oro;Teramo;2;-;2
Mosciano Sant'Angelo;Teramo;-;1;1
Moscufo;Pescara;1;-;1
Navelli;L'Aquila;1;-;1
Nereto;Teramo;1;-;1
Nocciano;Pescara;2;1;3
Notaresco;Teramo;5;2;7
Ofena;L'Aquila;1;-;1
Pacentro;L'Aquila;1;-;1
Penna Sant'Andrea;Teramo;10;2;12
Penne;Pescara;19;4;23
Pescosansonesco;Pescara;4;1;5
Pianella;Pescara;3;1;4
Picciano;Pescara;2;2;4
Pietranico;Pescara;2;1;3
Pineto;Teramo;1;-;1
Pratola Peligna;L'Aquila;5;7;12
Raiano;L'Aquila;1;3;4
Rosciano;Pescara;1;1;2
Roseto degli Abruzzi;Teramo;4;-;4
Sant'Egidio alla Vibrata;Teramo;3;3;6
Scoppito;L'Aquila;7;-;7
Sulmona;L'Aquila;1;-;1
Tione degli Abruzzi;L'Aquila;1;-;1
Tocco da Casauria;Pescara;1;-;1
Torano Nuovo;Teramo;2;4;6
Torre de' Passeri;Pescara;4;-;4
Vicoli;Pescara;1;-;1
Villa Celiera;Pescara;1;-;1
Belmonte in Sabina;Rieti;2;-;2
Cantalupo in Sabina;Rieti;1;-;1
Casaprota;Rieti;1;-;1
Casperia;Rieti;1;-;1
