PROVINCIA;Comune;DOMANDE DL;DOMANDE DG;TOT;DI CUI ACCOLTE;CANTIERI AVVIATI;CANTIERI CONCLUSI;DL;DG;DOMANDE / EDIFICI INAGIBILI DL;DOMANDE / EDIFICI INAGIBILI DL
Fermo;Monteleone di Fermo;11;-;11;3;3;2;13;51;85%;0%
Ascoli Piceno;Folignano;57;15;72;46;46;27;74;102;77%;15%
Ascoli Piceno;Castel di Lama;73;50;123;83;83;43;95;130;76%;39%
Macerata;Fiastra;138;83;221;131;131;75;180;476;76%;17%
Macerata;Esanatoglia;80;9;89;55;55;49;106;141;75%;6%
Ascoli Piceno;Castorano;20;9;29;17;17;8;28;48;72%;19%
Ascoli Piceno;Maltignano;50;9;59;14;14;10;74;64;68%;14%
Ancona;Cerreto d'Esi;58;7;65;19;19;12;86;94;67%;7%
Ascoli Piceno;Ascoli Piceno;545;167;712;323;323;137;827;946;66%;18%
Ascoli Piceno;Offida;77;17;94;44;44;21;117;197;66%;9%
Fermo;Falerone;83;16;99;53;53;30;127;225;65%;7%
Ascoli Piceno;Appignano del Tronto;49;19;68;30;30;14;75;105;65%;18%
Ancona;Fabriano;134;27;161;48;48;22;211;177;63%;15%
Ascoli Piceno;Rotella;30;22;52;31;31;11;47;131;63%;17%
Macerata;Tolentino;541;214;755;269;269;163;867;1.250;62%;17%
Macerata;Sefro;46;2;48;21;21;19;74;62;62%;3%
Fermo;Monte Rinaldo;11;4;15;10;10;4;18;63;62%;6%
Ascoli Piceno;Castignano;50;18;68;35;35;20;83;180;60%;10%
Macerata;Belforte del Chienti;49;30;79;37;37;23;84;148;58%;20%
Ascoli Piceno;Cossignano;35;17;52;27;27;18;60;93;58%;18%
Macerata;Gagliole;31;17;48;27;27;14;54;129;58%;13%
Macerata;Castelraimondo;101;53;154;75;75;56;176;365;57%;15%
Macerata;Valfornace;109;55;164;67;67;37;191;658;57%;8%
Macerata;Camporotondo di Fiastrone;21;23;44;18;18;9;37;105;57%;22%
Fermo;Ortezzano;13;4;17;10;10;7;23;23;56%;17%
Macerata;Monte Cavallo;22;7;29;7;7;5;40;102;55%;7%
Macerata;Sarnano;240;77;317;159;159;89;434;720;55%;11%
Macerata;Matelica;133;43;176;79;79;44;242;414;55%;10%
Fermo;Massa Fermana;9;2;11;3;3;2;16;52;55%;4%
Fermo;Montappone;19;6;25;12;12;4;35;87;54%;7%
Macerata;Pollenza;79;21;100;30;30;22;146;316;54%;7%
Fermo;Servigliano;29;8;37;17;17;9;54;110;54%;7%
Macerata;Pioraco;87;15;102;60;60;40;161;237;54%;6%
Macerata;Apiro;76;37;113;32;32;17;141;302;54%;12%
Fermo;Belmonte Piceno;14;1;15;7;7;2;26;48;54%;2%
Macerata;Loro Piceno;58;19;77;34;34;22;108;228;54%;8%
Macerata;Serravalle di Chienti;76;11;87;43;43;23;144;159;53%;7%
Macerata;San Severino Marche;379;174;553;290;290;184;719;1.205;53%;14%
Macerata;Macerata;246;60;306;78;78;42;471;391;52%;15%
Macerata;Cingoli;136;56;192;82;82;42;264;388;52%;14%
Ascoli Piceno;Roccafluvione;69;26;95;48;48;35;134;189;51%;14%
Fermo;Montefalcone Appennino;14;6;20;7;7;3;27;69;51%;9%
Macerata;Serrapetrona;59;29;88;43;43;28;117;218;51%;13%
Fermo;Montelparo;20;2;22;9;9;5;40;72;50%;3%
Ascoli Piceno;Comunanza;79;24;103;45;45;30;158;207;50%;12%
Ascoli Piceno;Montedinove;12;12;24;13;13;6;24;58;50%;21%
Macerata;Urbisaglia;43;8;51;12;12;9;88;109;49%;7%
Macerata;Fiuminata;39;10;49;21;21;16;80;107;49%;9%
Ascoli Piceno;Acquasanta Terme;226;124;350;175;175;98;465;834;49%;15%
Macerata;Poggio San Vicino;7;1;8;-;-;-;15;31;48%;3%
Fermo;Montegiorgio;59;20;79;34;34;17;126;187;47%;11%
Macerata;Camerino;279;181;460;184;184;115;612;1.794;46%;10%
