Comune;PR;RCR Attese ;RCR Presentate ;RCR Presentate VS Attese -tasso di copertura- (%) ;Interventi program. di OOPP ;Tecnici;Amministrativi;Altro;Totale 
Acquasanta Terme;(AP);1295;271;21%;2;1;- ;- ;1
Amandola;(FM);936;123;13%;5;2;- ;- ;2
Apiro;(MC);442;64;15%;20;3;- ;- ;3
Appignano del Tronto;(AP);179;36;20%;7;2;1;- ;3
Arquata del Tronto;(AP);2070;109;5%;11;2;1;- ;3
Ascoli Piceno;(AP);1770;452;26%;1;1;- ;- ;1
Belforte del Chienti;(MC);230;62;27%;8;1;- ;- ;1
Belmonte Piceno;(FM);73;8;11%;15;2;- ;- ;2
Bolognola;(MC);117;29;25%;6;1;1;- ;2
Caldarola;(MC);799;77;10%;14;3;- ;- ;3
Camerino;(MC);2389;322;14%;7;2;1;1;4
Camporotondo di Fiastrone;(MC);142;35;25%;2;- ;- ;- ;- 
Castel di Lama;(AP);224;98;44%;2;1;- ;- ;1
Castelraimondo;(MC);539;115;21%;10;2;- ;- ;2
Castelsantangelo sul Nera;(MC);1040;18;2%;12;4;- ;- ;4
Castignano;(AP);261;38;15%;22;2;- ;- ;2
Castorano;(AP);75;19;25%;2;- ;- ;- ;- 
Cerreto d'Esi;(AN);179;30;17%;5;2;- ;- ;2
Cessapalombo;(MC);442;38;9%;9;1;1;- ;2
Cingoli;(MC);647;117;18%;52;1;- ;-;1
Colli del Tronto;(AP);66;16;24%;8;2;1;-;3
Colmurano;(MC);298;37;12%;6;3;-;-;3
Comunanza;(AP);361;62;17%;2;4;4;-;8
Corridonia;(MC);475;65;14%;5;4;1;-;5
Cossignano;(AP);152;37;24%;20;3;1;-;4
Esanatoglia;(MC);246;75;31%;7;2;-;-;2
Fabriano;(AN);387;98;25%;11;9;3;-;12
Falerone;(FM);351;56;16%;1;1;2;-;3
Fiastra;(MC);652;185;28%;8;2;1;-;3
Fiuminata;(MC);184;36;20%;15;2;1;-;3
Folignano;(AP);175;53;30%;6;4;2;-;6
Force;(AP);393;48;12%;14;7;4;-;11
Gagliole;(MC);182;32;18%;7;8;5;1;14
Gualdo;(MC);521;57;11%;2;3;1;1;5
Loro Piceno;(MC);336;53;16%;2;2;1;-;3
Macerata;(MC);857;186;22%;10;3;-;2;5
Maltignano;(AP);137;34;25%;12;7;2;-;9
Massa Fermana;(FM);67;5;8%;22;2;-;-;2
Matelica;(MC);653;111;17%;2;1;1;-;2
Mogliano;(MC);379;53;14%;5;1;-;-;1
Monsampietro Morico;(FM);113;3;3%;9;3;3;-;6
Montalto delle Marche;(AP);207;28;14%;52;3;1;1;5
Montappone;(FM);121;19;16%;8;2;-;-;2
Monte Cavallo;(MC);140;14;10%;6;2;-;-;2
Monte Rinaldo;(FM);81;12;15%;14;2;-;1;3
Monte San Martino;(MC);247;24;10%;8;3;1;-;4
Monte Vidon Corrado;(FM);33;3;9%;6;1;1;-;2
Montedinove;(AP);81;18;22%;10;2;-;-;2
Montefalcone Appennino;(FM);95;14;15%;25;1;-;-;1
Montefortino;(FM);504;77;15%;6;2;1;-;3
Montegallo;(AP);847;97;12%;18;3;1;1;5
Montegiorgio;(FM);308;48;16%;9;1;2;-;3
Monteleone di Fermo;(FM);83;7;8%;9;3;-;-;3
Montelparo;(FM);112;14;13%;7;2;2;-;4
Montemonaco;(AP);429;73;17%;6;2;2;-;4
Muccia;(MC);698;73;11%;7;4;1;1;6
Offida;(AP);312;51;16%;9;2;1;-;3
Ortezzano;(FM);45;13;29%;33;1;1;-;2
Palmiano;(AP);82;11;13%;3;1;-;-;1
Penna San Giovanni;(MC);372;35;9%;5;1;1;-;2
Petriolo;(MC);249;28;11%;17;3;2;-;5
Pieve Torina;(MC);1378;157;11%;6;2;1;-;3
Pioraco;(MC);390;77;20%;6;2;1;-;3
Poggio San Vicino;(MC);45;2;4%;9;1;1;-;2
Pollenza;(MC);461;51;11%;3;1;-;-;1
Ripe San Ginesio;(MC);180;28;16%;7;2;2;-;4
Roccafluvione;(AP);322;65;20%;4;1;1;-;2
Rotella;(AP);177;36;20%;6;2;-;-;2
San Ginesio;(MC);1588;277;17%;4;1;1;-;2
San Severino Marche;(MC);1907;404;21%;4;2;-;-;2
Santa Vittoria in Matenano;(FM);139;17;12%;4;1;1;-;2
Sant'Angelo in Pontano;(MC);439;58;13%;18;4;1;-;5
Sarnano;(MC);1148;259;23%;31;6;3;2;11
Sefro;(MC);135;37;27%;7;2;-;-;2
Serrapetrona;(MC);331;69;21%;4;2;1;-;3
Serravalle di Chienti;(MC);302;59;20%;7;2;-;-;2
Servigliano;(FM);163;21;13%;16;2;2;-;4
Smerillo;(FM);92;13;14%;14;5;1;4;10
Tolentino;(MC);2115;577;27%;8;2;-;1;3
Treia;(MC);840;106;13%;5;2;-;-;2
Urbisaglia;(MC);196;23;12%;6;1;1;-;2
Ussita;(MC);941;79;8%;6;2;1;-;3
Valfornace;(MC);845;137;16%;7;5;-;-;5
Venarotta;(AP);234;52;22%;4;7;4;-;11
Visso;(MC);1152;128;11%;10;3;1;-;4
Arrone;(TR);80;12;15%;3;1;1;-;2
Cascia;(PG);1026;247;24%;33;5;4;1;10
Cerreto di Spoleto;(PG);180;29;16%;18;2;-;-;2
Ferentillo;(TR);132;25;19%;8;3;-;-;3
Montefranco;(TR);38;5;13%;1;1;1;-;2
Monteleone di Spoleto;(PG);142;39;28%;8;4;2;-;6
Norcia;(PG);3572;637;18%;59;7;6;-;13
Poggiodomo;(PG);78;6;8%;3;-;1;-;1
Polino;(TR);6;-;0%;3;1;1;-;2
Preci;(PG);652;76;12%;37;6;-;-;6
Sant'Anatolia di Narco;(PG);67;9;13%;9;1;1;-;2
Scheggino;(PG);57;5;9%;8;1;1;-;2
Sellano;(PG);236;48;20%;7;2;-;-;2
Spoleto;(PG);1713;194;11%;28;6;9;-;15
Vallo di Nera;(PG);74;6;8%;11;1;1;3;5
Barete;(AQ);89;10;11,20%;2;1;-;-;1
Cagnano Amiterno;(AQ);258;24;9,30%;5;2;-;-;2
Campli;(TE);512;93;18,20%;20;3;-;-;3
Campotosto;(AQ);466;30;6,40%;7;2;1;-;3
Capitignano;(AQ);416;94;22,60%;11;2;1;-;3
Castel Castagna;(TE);98;24;24,50%;1;1;-;-;1
Castelli;(TE);162;35;21,60%;8;1;-;-;1
Civitella del Tronto;(TE);563;70;12,40%;15;2;-;-;2
Colledara;(TE);259;35;13,50%;6;1;1;-;2
Cortino;(TE);319;17;5,30%;14;3;-;-;3
Crognaleto;(TE);465;32;6,90%;7;2;1;1;4
Fano Adriano;(TE);59;3;5,10%;2;-;-;-;-
Farindola;(PE);102;15;14,70%;2;1;-;-;1
Isola del Gran Sasso d'Italia;(TE);311;48;15,40%;10;2;-;-;2
Montereale;(AQ);1049;199;19,00%;12;4;-;-;4
Montorio al Vomano;(TE);826;165;20,00%;22;2;-;-;2
Pietracamela;(TE);17;1;5,90%;2;-;-;-;-
Pizzoli;(AQ);181;28;15,50%;5;2;-;-;2
Rocca Santa Maria;(TE);158;27;17,10%;9;1;1;-;2
Teramo;(TE);1386;270;19,50%;52;1;-;-;1
Torricella Sicura;(TE);358;69;19,30%;8;2;1;-;3
Tossicia;(TE);297;32;10,80%;6;3;-;-;3
Valle Castellana;(TE);588;45;7,70%;14;3;-;-;3
Accumoli;(RI);1605;67;4,20%;54;8;10;1;19
Amatrice;(RI);4333;434;10,00%;117;11;10;-;21
Antrodoco;(RI);252;58;23,00%;12;2;1;-;3
Borbona;(RI);301;53;17,60%;25;3;2;-;5
Borgo Velino;(RI);57;14;24,60%;12;3;-;-;3
Cantalice;(RI);97;14;14,40%;3;2;-;-;2
Castel Sant'Angelo;(RI);99;13;13,10%;3;1;2;-;3
Cittaducale;(RI);141;35;24,80%;5;3;-;-;3
Cittareale;(RI);481;61;12,70%;16;2;3;-;5
Leonessa;(RI);1270;168;13,20%;39;4;-;-;4
Micigliano;(RI);28;3;10,70%;5;2;1;-;3
Poggio Bustone;(RI);45;10;22,20%;6;1;1;-;2
Posta;(RI);315;74;23,50%;20;3;3;-;6
Rieti;(RI);469;120;25,60%;25;2;-;-;2
Rivodutri;(RI);25;5;20,10%;8;1;1;1;3
